ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
WMT,mkt-rf-alpha,0.0,0.0,1,2001,1.1746,0.0005,0.0,1,-0.0008,1.4501,0.0,0.01299,0.01299
PG,mkt-rf-alpha,0.0,0.0,1,2001,0.6397,-0.0001,0.0,1,-0.0009,0.9932,0.0,0.01299,0.01299
COST,mkt-rf-alpha,0.0,0.0,1,2001,1.3823,0.0,0.0,1,0.0005,1.9579,0.0,0.01299,0.01299
KO,mkt-rf-alpha,0.0,0.0,1,2001,0.6406,-0.001,0.0,1,0.0002,0.4514,0.0,0.01299,0.01299
PEP,mkt-rf-alpha,0.0,0.0,1,2001,0.5957,-0.0001,0.60413,1,0.0012,0.245,0.09195,0.01299,0.01299
UL,mkt-rf-alpha,0.0,0.0,1,2001,0.6737,0.0001,0.0,1,-0.0,0.8051,0.0,0.01299,0.01299
DEO,mkt-rf-alpha,0.0228,0.0228,1,2001,0.5638,0.0004,0.08699,1,0.0015,0.6127,0.01324,0.01299,0.01299
MO,mkt-rf-alpha,0.0,0.0,1,2001,0.7195,0.0008,0.0,1,0.002,0.9246,0.0,0.01299,0.01299
CL,mkt-rf-alpha,0.0,0.0,1,2001,0.8279,0.0001,0.0,1,-0.0004,1.2286,0.0,0.01299,0.01299
TGT,mkt-rf-alpha,0.0,0.0,1,2001,1.5627,0.0003,0.0,1,-0.0001,1.4836,0.0,0.01299,0.01299
BTI,mkt-rf-alpha,0.78171,0.78171,1,2001,0.4103,0.0017,0.0,1,0.0015,0.9146,0.0,0.01299,0.01299
MNST,mkt-rf-alpha,0.0,0.0,1,2001,0.344,0.0003,0.0,1,-0.0009,-0.1393,0.0,0.01299,0.01299
EL,mkt-rf-alpha,0.0,0.0,1,2001,0.7591,-0.0014,0.0,1,-0.0007,1.1479,0.0,0.01299,0.01299
STZ,mkt-rf-alpha,0.0,0.0,1,2001,0.8475,0.0022,0.0,1,0.0007,0.7488,0.0,0.01299,0.01299
KMB,mkt-rf-alpha,0.0,0.0,1,2001,0.8182,-0.0006,0.0,1,-0.0005,1.264,0.0,0.01299,0.01299
ABEV,mkt-rf-alpha,0.0,0.0,1,2001,-0.1969,-0.0015,1.42815,1,0.0027,0.2675,0.10676,0.01299,0.01299
SYY,mkt-rf-alpha,0.0,0.0,1,2001,1.0838,-0.0005,0.0,1,0.0012,0.8986,0.0,0.01299,0.01299
HSY,mkt-rf-alpha,0.0,0.0,1,2001,0.7047,-0.0,0.23052,1,0.0009,0.4331,0.03509,0.01299,0.01299
GIS,mkt-rf-alpha,0.0,0.0,1,2001,0.5755,0.0003,0.08941,1,0.0008,0.5565,0.01361,0.01299,0.01299
KR,mkt-rf-alpha,0.0,0.0,1,2001,0.9223,-0.0016,0.0,1,0.0011,0.6934,0.0,0.01299,0.01299
CCEP,mkt-rf-alpha,0.00508,0.00508,1,2001,0.6638,0.0007,0.0,1,-0.0008,0.6998,0.0,0.01299,0.01299
DLTR,mkt-rf-alpha,0.0,0.0,1,2001,1.3645,0.0011,0.0,1,0.0011,1.8719,0.0,0.01299,0.01299
FMX,mkt-rf-alpha,0.0,0.0,1,2001,0.868,0.0004,0.0,1,-0.0007,1.7048,0.0,0.01299,0.01299
ADM,mkt-rf-alpha,0.0,0.0,1,2001,1.0408,-0.0002,0.0,1,0.0001,0.821,0.0,0.01299,0.01299
BF-A,mkt-rf-alpha,0.0,0.0,1,2001,0.6252,0.0001,0.06916,1,0.0005,0.5007,0.01053,0.01299,0.01299
CHD,mkt-rf-alpha,0.0,0.0,1,2001,0.7345,0.0011,0.0,1,-0.0012,1.1391,0.0,0.01299,0.01299
KOF,mkt-rf-alpha,0.0,0.0,1,2001,0.6484,-0.0009,0.0,1,0.0007,1.0611,0.0,0.01299,0.01299
