year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.12601,0.00016,0.32646,0.44823,8.29843,0,0,0,0,0,0,0,0,0,0,0.00832,z-score,20.0,consumer_defensive
2001,mkt-rf-alpha,0.22986,0.00048,2.12614,0.61852,24.80209,0,0,0,0,0,0,0,0,0,0,0.00662,t-value,,consumer_defensive
2002,mkt-rf-alpha,0.15182,0.00064,0.68283,0.51912,5.72643,0,0,0,0,0,0,0,0,0,0,0.01583,z-score,18.0,consumer_defensive
2002,mkt-rf-alpha,0.08489,0.00027,1.21144,0.67229,30.95038,0,0,0,0,0,0,0,0,0,0,0.00851,t-value,,consumer_defensive
2003,mkt-rf-alpha,0.55783,0.00123,3.1491,0.3463,6.99703,0,0,0,0,0,0,0,0,0,0,0.00677,z-score,17.0,consumer_defensive
2003,mkt-rf-alpha,0.37807,0.00052,2.95929,0.59625,26.75261,0,0,0,0,0,0,0,0,0,0,0.00614,t-value,,consumer_defensive
2004,mkt-rf-alpha,0.38116,0.00111,2.23957,0.36287,4.14385,0,0,0,0,0,0,0,0,0,0,0.00832,z-score,25.0,consumer_defensive
2004,mkt-rf-alpha,0.2268,0.00042,2.43415,0.63669,20.66979,0,0,0,0,0,0,0,0,0,0,0.00548,t-value,,consumer_defensive
2005,mkt-rf-alpha,0.31664,0.001,2.50535,0.52753,7.02454,0,0,0,0,0,0,0,0,0,0,0.00809,z-score,25.0,consumer_defensive
2005,mkt-rf-alpha,0.02999,1e-05,0.06061,0.71468,23.71938,0,0,0,0,0,0,0,0,0,0,0.00585,t-value,,consumer_defensive
2006,mkt-rf-alpha,0.43482,0.00098,2.09489,0.50261,5.15967,0,0,0,0,0,0,0,0,0,0,0.00948,z-score,19.0,consumer_defensive
2006,mkt-rf-alpha,0.24278,0.00028,1.80481,0.68417,20.81586,0,0,0,0,0,0,0,0,0,0,0.00561,t-value,,consumer_defensive
2007,mkt-rf-alpha,0.02792,-0.00021,-0.53087,0.80355,18.99399,0,0,0,0,0,0,0,0,0,0,0.01046,z-score,25.0,consumer_defensive
2007,mkt-rf-alpha,0.11563,0.00026,1.61241,0.78198,46.06239,0,0,0,0,0,0,0,0,0,0,0.00844,t-value,,consumer_defensive
2008,mkt-rf-alpha,-0.21204,0.00071,1.12823,0.95627,27.27291,0,0,0,0,0,0,0,0,0,0,0.02336,z-score,20.0,consumer_defensive
2008,mkt-rf-alpha,-0.27772,0.00067,1.44342,1.00747,39.10677,0,0,0,0,0,0,0,0,0,0,0.02501,t-value,,consumer_defensive
2009,mkt-rf-alpha,0.23509,0.00036,0.81735,0.65576,14.0792,0,0,0,0,0,0,0,0,0,0,0.01112,z-score,18.0,consumer_defensive
2009,mkt-rf-alpha,0.3752,0.00033,1.05519,0.73844,22.14585,0,0,0,0,0,0,0,0,0,0,0.01281,t-value,,consumer_defensive
2010,mkt-rf-alpha,-0.11738,-0.00099,-1.22645,0.79272,6.4919,0,0,0,0,0,0,0,0,0,0,0.01644,z-score,22.0,consumer_defensive
2010,mkt-rf-alpha,0.1981,0.00016,0.90851,0.72355,28.01331,0,0,0,0,0,0,0,0,0,0,0.00883,t-value,,consumer_defensive
2011,mkt-rf-alpha,0.14777,0.00033,0.8795,0.70037,16.34494,0,0,0,0,0,0,0,0,0,0,0.01168,z-score,24.0,consumer_defensive
2011,mkt-rf-alpha,0.0745,7e-05,0.34276,0.85384,34.53445,0,0,0,0,0,0,0,0,0,0,0.01305,t-value,,consumer_defensive
2012,mkt-rf-alpha,0.09518,-0.0001,-0.39919,0.67101,18.12298,0,0,0,0,0,0,0,0,0,0,0.00619,z-score,22.0,consumer_defensive
2012,mkt-rf-alpha,0.1693,0.00011,0.63622,0.70956,26.34491,0,0,0,0,0,0,0,0,0,0,0.00652,t-value,,consumer_defensive
2013,mkt-rf-alpha,0.39292,0.00062,0.79121,0.71002,5.20554,0,0,0,0,0,0,0,0,0,0,0.0132,z-score,21.0,consumer_defensive
2013,mkt-rf-alpha,0.31537,0.00012,0.73786,0.81029,29.01977,0,0,0,0,0,0,0,0,0,0,0.00612,t-value,,consumer_defensive
2014,mkt-rf-alpha,0.37643,0.00102,2.88026,0.69501,12.18076,0,0,0,0,0,0,0,0,0,0,0.0083,z-score,27.0,consumer_defensive
2014,mkt-rf-alpha,0.13277,0.00019,1.03081,0.839,27.6531,0,0,0,0,0,0,0,0,0,0,0.00685,t-value,,consumer_defensive
2015,mkt-rf-alpha,0.18526,0.00067,1.74132,0.63601,15.05403,0,0,0,0,0,0,0,0,0,0,0.00855,z-score,22.0,consumer_defensive
2015,mkt-rf-alpha,0.09932,0.00052,2.91915,0.81655,41.78335,0,0,0,0,0,0,0,0,0,0,0.00795,t-value,,consumer_defensive
2016,mkt-rf-alpha,0.26912,0.00086,1.83996,0.82366,12.41443,0,0,0,0,0,0,0,0,0,0,0.00969,z-score,29.0,consumer_defensive
2016,mkt-rf-alpha,0.15307,0.00014,0.58968,0.955,28.8326,0,0,0,0,0,0,0,0,0,0,0.00816,t-value,,consumer_defensive
2017,mkt-rf-alpha,0.17628,0.00021,0.5187,0.6068,5.58259,0,0,0,0,0,0,0,0,0,0,0.00697,z-score,29.0,consumer_defensive
2017,mkt-rf-alpha,0.17326,5e-05,0.24329,0.79923,15.53031,0,0,0,0,0,0,0,0,0,0,0.00491,t-value,,consumer_defensive
2018,mkt-rf-alpha,-0.07721,-0.00021,-0.50165,0.59647,13.63285,0,0,0,0,0,0,0,0,0,0,0.00871,z-score,35.0,consumer_defensive
2018,mkt-rf-alpha,-0.08279,-0.00011,-0.4385,0.73099,26.18827,0,0,0,0,0,0,0,0,0,0,0.00813,t-value,,consumer_defensive
2019,mkt-rf-alpha,0.21271,0.00033,0.86891,0.55172,9.48419,0,0,0,0,0,0,0,0,0,0,0.00723,z-score,24.0,consumer_defensive
2019,mkt-rf-alpha,0.21914,0.00017,0.85592,0.67749,22.64439,0,0,0,0,0,0,0,0,0,0,0.00595,t-value,,consumer_defensive
2020,mkt-rf-alpha,0.01394,-0.00052,-0.48803,1.02068,19.09846,0,0,0,0,0,0,0,0,0,0,0.0316,z-score,25.0,consumer_defensive
2020,mkt-rf-alpha,0.15416,0.00018,0.43892,0.87072,42.23406,0,0,0,0,0,0,0,0,0,0,0.02176,t-value,,consumer_defensive
2021,mkt-rf-alpha,-0.07942,-0.00047,-0.83739,0.46105,5.97947,0,0,0,0,0,0,0,0,0,0,0.01113,z-score,32.0,consumer_defensive
2021,mkt-rf-alpha,0.09646,-0.00038,-1.41612,0.65272,17.52925,0,0,0,0,0,0,0,0,0,0,0.00746,t-value,,consumer_defensive
2022,mkt-rf-alpha,0.06276,0.00055,1.00768,0.67002,15.38088,0,0,0,0,0,0,0,0,0,0,0.01228,z-score,30.0,consumer_defensive
2022,mkt-rf-alpha,0.014,0.00044,1.27517,0.76615,27.71761,0,0,0,0,0,0,0,0,0,0,0.01256,t-value,,consumer_defensive
2023,mkt-rf-alpha,0.20904,0.00052,0.62882,0.78782,6.65769,0,0,0,0,0,0,0,0,0,0,0.01525,z-score,31.0,consumer_defensive
2023,mkt-rf-alpha,0.112,0.00012,0.46939,0.74652,19.95192,0,0,0,0,0,0,0,0,0,0,0.00797,t-value,,consumer_defensive
