mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.01893,0.98142,-0.00906,0.94793,-0.00906,0.94793,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,-0.00844,0.97326,-0.01835,0.93129,-0.01835,0.93129,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,-0.01927,0.95553,-0.02863,0.90724,-0.02863,0.90724,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,0.00475,0.95922,0.01457,0.91921,0.01457,0.91921,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,-0.01105,0.94925,0.00333,0.92126,0.00333,0.92126,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,0.00499,0.95451,-0.00301,0.9188,-0.00301,0.9188,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.01761,0.96926,0.01165,0.92878,0.01165,0.92878,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.01258,0.98019,0.00455,0.93276,0.00455,0.93276,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,-0.0105,0.96928,-0.00444,0.92898,-0.00444,0.92898,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.00255,0.97139,0.01068,0.93865,0.01068,0.93865,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,-0.01776,0.95546,-0.01878,0.92191,-0.01878,0.92191,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,-0.03053,0.92866,-0.02458,0.90203,-0.02458,0.90203,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,-0.0001,0.92828,0.00062,0.90179,0.00062,0.90179,-0.0055
-0.0001,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.00806,0.93487,0.01292,0.91324,0.01292,0.91324,-0.0001
0.0157,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,0.01513,0.94754,0.01194,0.92327,0.01194,0.92327,0.0157
0.0034,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,0.00782,0.95424,0.00078,0.92399,0.00078,0.92399,0.0034
-0.0081,0.0004,0.0141,0.0167,0.017,0.0239,2001-01-25,0.00026,mkt-rf-alpha,0.03591,0.98712,0.02303,0.94417,0.02303,0.94417,-0.0081
-0.0011,0.0021,-0.0021,-0.0003,-0.0019,0.001,2001-01-26,0.00026,mkt-rf-alpha,-0.00469,0.98192,-0.00641,0.93875,-0.00641,0.93875,-0.0011
0.009,0.0061,-0.0034,-0.0084,-0.0079,-0.0153,2001-01-29,0.00026,mkt-rf-alpha,0.00091,0.98291,-0.00271,0.93658,-0.00271,0.93658,0.009
0.0063,0.0004,-0.0028,-0.0014,0.0002,-0.0105,2001-01-30,0.00026,mkt-rf-alpha,0.00652,0.99044,-0.00132,0.93546,-0.00132,0.93546,0.0063
-0.0072,0.0043,0.0032,0.0125,0.0072,0.0055,2001-01-31,0.00026,mkt-rf-alpha,0.00595,0.99644,0.00173,0.93754,0.00173,0.93754,-0.0072
0.0039,-0.0015,0.0056,0.009,0.0008,0.0028,2001-02-01,0.0002,mkt-rf-alpha,0.0243,1.02045,0.00114,0.93838,0.00114,0.93838,0.0039
-0.019,0.0041,0.0215,0.0142,0.0158,0.0298,2001-02-02,0.0002,mkt-rf-alpha,0.00694,1.02781,0.0132,0.95032,0.0132,0.95032,-0.019
0.0017,-0.003,0.0099,0.0049,0.003,0.0161,2001-02-05,0.0002,mkt-rf-alpha,0.00836,1.03567,0.01476,0.96286,0.01476,0.96286,0.0017
0.0004,0.0087,-0.006,0.0006,0.0004,-0.0036,2001-02-06,0.0002,mkt-rf-alpha,0.0116,1.04833,0.01196,0.97387,0.01196,0.97387,0.0004
-0.0086,0.0107,0.014,0.0115,0.0114,0.0233,2001-02-07,0.0002,mkt-rf-alpha,0.01227,1.06236,0.00957,0.98293,0.00957,0.98293,-0.0086
-0.0067,-0.0007,0.0091,0.0022,0.0051,0.0074,2001-02-08,0.0002,mkt-rf-alpha,0.02449,1.09317,0.00642,0.99042,0.00642,0.99042,-0.0067
-0.0142,0.0028,0.0127,0.009,0.0133,0.0231,2001-02-09,0.0002,mkt-rf-alpha,-0.01056,1.07953,0.00763,0.99719,0.00763,0.99719,-0.0142
