ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
XOM,mkt-rf-alpha,0.0,0.0,1,2001,0.9098,-0.0004,0.0,1,-0.0006,0.4907,0.0,0.01449,0.01449
CVX,mkt-rf-alpha,0.41022,0.41022,1,2001,0.6101,0.0005,0.0,1,-0.0009,0.5258,0.0,0.01449,0.01449
SHEL,mkt-rf-alpha,0.0,0.0,1,2001,0.9787,-0.0011,0.0,1,-0.001,0.6246,0.0,0.01449,0.01449
TTE,mkt-rf-alpha,0.0,0.0,1,2001,0.7354,-0.0003,0.0,1,0.0001,0.5093,0.0,0.01449,0.01449
COP,mkt-rf-alpha,0.24124,0.24124,1,2001,0.6701,0.0003,0.0,1,0.0003,0.3808,0.0,0.01449,0.01449
BP,mkt-rf-alpha,0.04211,0.04211,1,2001,0.7739,-0.0001,0.0,1,-0.0017,0.6115,0.0,0.01449,0.01449
ENB,mkt-rf-alpha,0.47768,0.47768,1,2001,0.2408,0.0001,0.4084,1,0.0019,0.2867,0.04735,0.01449,0.01449
SLB,mkt-rf-alpha,0.0,0.0,1,2001,0.8071,-0.0007,0.0,1,0.0002,0.8403,0.0,0.01449,0.01449
EOG,mkt-rf-alpha,0.0,0.0,1,2001,1.2023,-0.0009,0.0,1,0.0035,0.661,0.0,0.01449,0.01449
EPD,mkt-rf-alpha,0.37741,0.37741,1,2001,0.7906,0.0018,0.44454,1,0.0021,0.3084,0.05154,0.01449,0.01449
PXD,mkt-rf-alpha,0.0,0.0,1,2001,1.192,0.0005,0.0,1,0.0019,0.9867,0.0,0.01449,0.01449
E,mkt-rf-alpha,0.0,0.0,1,2001,0.928,-0.0001,0.0,1,0.0008,0.3259,0.0,0.01449,0.01449
OXY,mkt-rf-alpha,0.031,0.031,1,2001,0.86,0.0003,0.0,1,-0.0007,0.6606,0.0,0.01449,0.01449
VLO,mkt-rf-alpha,0.0,0.0,1,2001,1.2525,0.0009,0.00018,1,0.0017,0.5614,2e-05,0.01449,0.01449
HES,mkt-rf-alpha,0.0,0.0,1,2001,0.6885,-0.0006,0.0,1,-0.0001,0.5932,0.0,0.01449,0.01449
WMB,mkt-rf-alpha,0.0,0.0,1,2001,1.3809,-0.0006,0.0,1,0.0,1.1864,0.0,0.01449,0.01449
SU,mkt-rf-alpha,1.9826,1.9826,1,2001,0.3996,0.0019,0.0,1,0.0008,0.2602,0.0,0.01449,0.01449
WDS,mkt-rf-alpha,0.0,0.0,1,2001,0.0462,-0.0003,0.29412,1,0.0012,0.0172,0.0341,0.01449,0.01449
OKE,mkt-rf-alpha,0.0,0.0,1,2001,1.1417,-0.0008,0.0,1,0.0019,0.9103,0.0,0.01449,0.01449
TRP,mkt-rf-alpha,1.29616,1.29616,1,2001,0.2494,0.0008,0.14473,1,0.0011,0.2044,0.01678,0.01449,0.01449
LNG,mkt-rf-alpha,0.0,0.0,1,2001,0.9393,-0.0039,0.59387,1,0.0031,0.3704,0.06886,0.01449,0.01449
HAL,mkt-rf-alpha,0.0,0.0,1,2001,1.075,-0.0025,0.0,1,-0.0021,1.0542,0.0,0.01449,0.01449
IMO,mkt-rf-alpha,1.16445,1.16445,1,2001,0.3621,0.0009,0.11146,1,0.0011,0.2865,0.01292,0.01449,0.01449
BKR,mkt-rf-alpha,0.0,0.0,1,2001,0.9751,-0.0003,0.0,1,0.0006,0.9,0.0,0.01449,0.01449
DVN,mkt-rf-alpha,-0.0,-0.0,1,2001,0.888,-0.0015,0.15598,1,0.0013,0.3306,0.01809,0.01449,0.01449
CCJ,mkt-rf-alpha,0.85324,0.85324,1,2001,0.6678,0.0018,0.59212,1,0.0018,0.1232,0.06865,0.01449,0.01449
CTRA,mkt-rf-alpha,0.0,0.0,1,2001,1.3207,-0.0007,0.0,1,0.0017,0.7598,0.0,0.01449,0.01449
EQT,mkt-rf-alpha,0.02325,0.02325,1,2001,0.87,0.0004,0.13302,1,0.0023,0.4959,0.01542,0.01449,0.01449
MRO,mkt-rf-alpha,0.11411,0.11411,1,2001,0.7334,0.0001,0.0,1,-0.0009,0.8778,0.0,0.01449,0.01449
DINO,mkt-rf-alpha,0.0,0.0,1,2001,0.8958,0.0035,0.0,1,-0.0002,0.3404,0.0,0.01449,0.01449
TPL,mkt-rf-alpha,0.0,0.0,1,2001,0.0054,-0.0003,0.0,1,-0.0004,0.151,0.0,0.01449,0.01449
PAA,mkt-rf-alpha,1.03388,1.03388,1,2001,0.5378,0.0013,0.34972,1,0.0015,0.1917,0.04055,0.01449,0.01449
YPF,mkt-rf-alpha,0.0,0.0,1,2001,0.3369,-0.0017,0.0,1,-0.0012,0.4622,0.0,0.01449,0.01449
APA,mkt-rf-alpha,0.0,0.0,1,2001,1.0027,-0.0011,0.0,1,0.0007,0.9892,0.0,0.01449,0.01449
