year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.17813,0.0005,0.71746,0.66494,8.51063,0,0,0,0,0,0,0,0,0,0,0.01261,z-score,19.0,energy
2001,mkt-rf-alpha,-0.02108,-0.0003,-0.38577,0.86842,10.02986,0,0,0,0,0,0,0,0,0,0,0.01486,t-value,,energy
2002,mkt-rf-alpha,0.04744,0.00018,0.41446,0.50157,11.79074,0,0,0,0,0,0,0,0,0,0,0.0096,z-score,23.0,energy
2002,mkt-rf-alpha,0.01313,0.00019,0.32979,0.85278,15.63584,0,0,0,0,0,0,0,0,0,0,0.01486,t-value,,energy
2003,mkt-rf-alpha,0.70172,0.00193,3.96556,0.17684,2.86427,0,0,0,0,0,0,0,0,0,0,0.00771,z-score,14.0,energy
2003,mkt-rf-alpha,0.42724,0.0007,1.91716,0.48076,10.44542,0,0,0,0,0,0,0,0,0,0,0.00704,t-value,,energy
2004,mkt-rf-alpha,0.55957,0.00115,2.7761,0.52598,7.18555,0,0,0,0,0,0,0,0,0,0,0.00917,z-score,28.0,energy
2004,mkt-rf-alpha,0.39934,0.0006,1.49982,0.65397,9.2872,0,0,0,0,0,0,0,0,0,0,0.00939,t-value,,energy
2005,mkt-rf-alpha,0.35065,0.00027,0.62719,0.42404,5.2808,0,0,0,0,0,0,0,0,0,0,0.01001,z-score,20.0,energy
2005,mkt-rf-alpha,0.35264,-5e-05,-0.16569,0.67694,11.35499,0,0,0,0,0,0,0,0,0,0,0.01107,t-value,,energy
2006,mkt-rf-alpha,0.1815,0.00093,1.82305,0.16,1.49729,0,0,0,0,0,0,0,0,0,0,0.01129,z-score,19.0,energy
2006,mkt-rf-alpha,0.16721,0.00062,1.37549,0.52748,5.62247,0,0,0,0,0,0,0,0,0,0,0.01265,t-value,,energy
2007,mkt-rf-alpha,0.19112,-3e-05,-0.07008,0.50435,10.06134,0,0,0,0,0,0,0,0,0,0,0.01028,z-score,23.0,energy
2007,mkt-rf-alpha,0.23293,-7e-05,-0.20071,0.69462,18.8074,0,0,0,0,0,0,0,0,0,0,0.01088,t-value,,energy
2008,mkt-rf-alpha,-0.63099,0.00087,0.49016,1.45835,14.82694,0,0,0,0,0,0,0,0,0,0,0.04844,z-score,18.0,energy
2008,mkt-rf-alpha,-0.67279,0.0012,0.6931,2.04167,21.24543,0,0,0,0,0,0,0,0,0,0,0.05817,t-value,,energy
2009,mkt-rf-alpha,0.417,-0.00011,-0.16528,0.6288,8.82346,0,0,0,0,0,0,0,0,0,0,0.01729,z-score,26.0,energy
2009,mkt-rf-alpha,0.40654,-0.00078,-1.35381,1.04623,17.22419,0,0,0,0,0,0,0,0,0,0,0.02315,t-value,,energy
2010,mkt-rf-alpha,0.36753,0.00085,1.72011,0.59506,7.95248,0,0,0,0,0,0,0,0,0,0,0.01225,z-score,27.0,energy
2010,mkt-rf-alpha,0.28806,0.00045,1.42497,1.01266,21.00043,0,0,0,0,0,0,0,0,0,0,0.01467,t-value,,energy
2011,mkt-rf-alpha,-0.05501,0.00053,0.6286,0.72632,7.48053,0,0,0,0,0,0,0,0,0,0,0.02307,z-score,33.0,energy
2011,mkt-rf-alpha,-0.09528,0.0001,0.21889,1.00558,18.76095,0,0,0,0,0,0,0,0,0,0,0.02126,t-value,,energy
2012,mkt-rf-alpha,0.20137,0.00034,0.94522,0.73594,13.26987,0,0,0,0,0,0,0,0,0,0,0.00865,z-score,25.0,energy
2012,mkt-rf-alpha,0.05158,-0.00031,-0.96684,1.07,21.47451,0,0,0,0,0,0,0,0,0,0,0.0121,t-value,,energy
2013,mkt-rf-alpha,0.27341,0.00034,0.91942,0.54026,8.34119,0,0,0,0,0,0,0,0,0,0,0.00681,z-score,36.0,energy
2013,mkt-rf-alpha,0.281,-9e-05,-0.3745,0.9034,21.91228,0,0,0,0,0,0,0,0,0,0,0.00782,t-value,,energy
2014,mkt-rf-alpha,-0.1011,-0.00077,-0.74315,1.09461,6.55169,0,0,0,0,0,0,0,0,0,0,0.01822,z-score,34.0,energy
2014,mkt-rf-alpha,-0.15771,-0.00102,-1.83839,1.37015,15.28231,0,0,0,0,0,0,0,0,0,0,0.01396,t-value,,energy
2015,mkt-rf-alpha,0.08507,0.00125,0.88957,0.84989,5.50255,0,0,0,0,0,0,0,0,0,0,0.02471,z-score,43.0,energy
2015,mkt-rf-alpha,-0.34599,-0.00028,-0.44781,1.2281,17.98559,0,0,0,0,0,0,0,0,0,0,0.02257,t-value,,energy
2016,mkt-rf-alpha,0.19637,-0.00039,-0.6723,0.89101,10.96538,0,0,0,0,0,0,0,0,0,0,0.01452,z-score,30.0,energy
2016,mkt-rf-alpha,0.29329,-0.00067,-0.94786,1.2233,12.31921,0,0,0,0,0,0,0,0,0,0,0.02152,t-value,,energy
2017,mkt-rf-alpha,0.25222,0.00094,1.16867,0.62616,2.95787,0,0,0,0,0,0,0,0,0,0,0.01305,z-score,40.0,energy
2017,mkt-rf-alpha,-0.00103,0.00028,0.65719,1.06593,9.6442,0,0,0,0,0,0,0,0,0,0,0.01216,t-value,,energy
2018,mkt-rf-alpha,0.0542,0.00045,0.51872,1.05576,11.35472,0,0,0,0,0,0,0,0,0,0,0.01811,z-score,41.0,energy
2018,mkt-rf-alpha,-0.21884,-0.00066,-1.29894,1.19729,22.14386,0,0,0,0,0,0,0,0,0,0,0.01554,t-value,,energy
2019,mkt-rf-alpha,0.23282,0.00027,0.4124,0.52259,5.35576,0,0,0,0,0,0,0,0,0,0,0.01144,z-score,45.0,energy
2019,mkt-rf-alpha,0.114,-0.00036,-0.82584,0.81215,12.42632,0,0,0,0,0,0,0,0,0,0,0.01356,t-value,,energy
2020,mkt-rf-alpha,-0.05618,0.00099,0.49365,1.2694,12.54181,0,0,0,0,0,0,0,0,0,0,0.05265,z-score,42.0,energy
2020,mkt-rf-alpha,0.42731,0.0073,0.7611,2.2379,4.60574,0,0,0,0,0,0,0,0,0,0,0.16316,t-value,,energy
2021,mkt-rf-alpha,0.60721,0.00149,2.41165,0.68191,8.03286,0,0,0,0,0,0,0,0,0,0,0.01377,z-score,53.0,energy
2021,mkt-rf-alpha,0.47877,0.00085,1.56515,0.84683,11.32787,0,0,0,0,0,0,0,0,0,0,0.01458,t-value,,energy
2022,mkt-rf-alpha,0.47348,0.0013,1.72889,0.92396,15.33566,0,0,0,0,0,0,0,0,0,0,0.01881,z-score,33.0,energy
2022,mkt-rf-alpha,0.39209,0.00108,1.77501,0.94953,19.48682,0,0,0,0,0,0,0,0,0,0,0.01793,t-value,,energy
2023,mkt-rf-alpha,0.2623,0.00055,0.64284,0.52414,4.25664,0,0,0,0,0,0,0,0,0,0,0.01538,z-score,31.0,energy
2023,mkt-rf-alpha,0.13811,8e-05,0.12561,0.81996,9.31176,0,0,0,0,0,0,0,0,0,0,0.0145,t-value,,energy
