mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.03231,0.9687,-0.02201,0.94288,-0.02201,0.94288,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.01774,0.98533,0.0311,0.97222,0.0311,0.97222,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,-0.00745,0.97817,0.00304,0.9755,0.00304,0.9755,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,-0.01454,0.96424,-0.01734,0.95833,-0.01734,0.95833,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,-0.01143,0.95409,-0.0028,0.95463,-0.0028,0.95463,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,0.00383,0.95771,-0.00215,0.9536,-0.00215,0.9536,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.00719,0.96476,0.0108,0.96292,0.0108,0.96292,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.00357,0.96828,0.00601,0.96967,0.00601,0.96967,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,-0.00935,0.96012,-0.01205,0.95845,-0.01205,0.95845,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.01386,0.97243,0.0164,0.97408,0.0164,0.97408,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,0.00102,0.97346,-0.00133,0.97231,-0.00133,0.97231,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,-0.00327,0.97028,-0.00276,0.96944,-0.00276,0.96944,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,-0.00243,0.96709,-0.0068,0.96293,-0.0068,0.96293,-0.0055
-0.0001,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.00976,0.97554,0.01089,0.97274,0.01089,0.97274,-0.0001
0.0157,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,-7e-05,0.97531,0.01033,0.98274,0.01033,0.98274,0.0157
0.0034,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,0.00102,0.9762,0.00411,0.98643,0.00411,0.98643,0.0034
-0.0081,0.0004,0.0141,0.0167,0.017,0.0239,2001-01-25,0.00026,mkt-rf-alpha,0.00271,0.97812,0.00163,0.9881,0.00163,0.9881,-0.0081
-0.0011,0.0021,-0.0021,-0.0003,-0.0019,0.001,2001-01-26,0.00026,mkt-rf-alpha,0.00044,0.97848,0.00247,0.99094,0.00247,0.99094,-0.0011
0.009,0.0061,-0.0034,-0.0084,-0.0079,-0.0153,2001-01-29,0.00026,mkt-rf-alpha,0.00456,0.9834,0.00514,0.99594,0.00514,0.99594,0.009
0.0063,0.0004,-0.0028,-0.0014,0.0002,-0.0105,2001-01-30,0.00026,mkt-rf-alpha,0.00329,0.98621,0.0077,1.00579,0.0077,1.00579,0.0063
-0.0072,0.0043,0.0032,0.0125,0.0072,0.0055,2001-01-31,0.00026,mkt-rf-alpha,0.00671,0.99251,-0.00585,0.99882,-0.00585,0.99882,-0.0072
0.0039,-0.0015,0.0056,0.009,0.0008,0.0028,2001-02-01,0.0002,mkt-rf-alpha,-0.00117,0.99068,0.00601,1.00726,0.00601,1.00726,0.0039
-0.019,0.0041,0.0215,0.0142,0.0158,0.0298,2001-02-02,0.0002,mkt-rf-alpha,0.0041,0.99387,-0.00027,1.00542,-0.00027,1.00542,-0.019
0.0017,-0.003,0.0099,0.0049,0.003,0.0161,2001-02-05,0.0002,mkt-rf-alpha,0.00473,0.99866,0.00319,1.00769,0.00319,1.00769,0.0017
0.0004,0.0087,-0.006,0.0006,0.0004,-0.0036,2001-02-06,0.0002,mkt-rf-alpha,0.00063,0.99915,-0.00424,1.00211,-0.00424,1.00211,0.0004
-0.0086,0.0107,0.014,0.0115,0.0114,0.0233,2001-02-07,0.0002,mkt-rf-alpha,0.00452,1.00352,0.00629,1.00944,0.00629,1.00944,-0.0086
-0.0067,-0.0007,0.0091,0.0022,0.0051,0.0074,2001-02-08,0.0002,mkt-rf-alpha,-0.00337,1.00025,-0.00068,1.00894,-0.00068,1.00894,-0.0067
-0.0142,0.0028,0.0127,0.009,0.0133,0.0231,2001-02-09,0.0002,mkt-rf-alpha,0.00424,1.00451,0.00048,1.00821,0.00048,1.00821,-0.0142
0.011,0.0017,0.0012,0.0069,0.0035,-0.006,2001-02-12,0.0002,mkt-rf-alpha,0.00636,1.01106,0.01232,1.02222,0.01232,1.02222,0.011
-0.009,0.0055,0.0089,0.0028,0.0054,0.0114,2001-02-13,0.0002,mkt-rf-alpha,-0.00978,1.00166,-0.00363,1.01845,-0.00363,1.01845,-0.009
