ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
BRK-B,mkt-rf-alpha,0.0,0.0,1,2001,0.6467,0.0005,0.0,1,0.0013,0.8758,0.0,0.00455,0.00455
JPM,mkt-rf-alpha,0.0,0.0,1,2001,1.4613,0.0001,0.0,1,0.0002,1.5041,0.0,0.00455,0.00455
BAC,mkt-rf-alpha,0.0,0.0,1,2001,1.1708,0.0016,0.0,1,0.0003,1.4344,0.0,0.00455,0.00455
WFC,mkt-rf-alpha,0.0,0.0,1,2001,0.8731,-0.0004,0.0,1,0.001,1.3289,0.0,0.00455,0.00455
HSBC,mkt-rf-alpha,0.0,0.0,1,2001,1.2168,-0.0009,0.0,1,0.0009,0.6946,0.0,0.00455,0.00455
AXP,mkt-rf-alpha,0.0,0.0,1,2001,1.6632,-0.0007,0.0,1,-0.0001,1.6688,0.0,0.00455,0.00455
SPGI,mkt-rf-alpha,0.0,0.0,1,2001,0.5968,0.0001,0.0,1,-0.0003,0.9443,0.0,0.00455,0.00455
MS,mkt-rf-alpha,0.0,0.0,1,2001,1.5562,-0.0001,0.0,1,0.0008,1.843,0.0,0.00455,0.00455
RY,mkt-rf-alpha,0.0,0.0,1,2001,0.8077,-0.0003,0.0,1,0.0023,0.6764,0.0,0.00455,0.00455
GS,mkt-rf-alpha,0.0,0.0,1,2001,1.0267,0.0009,0.0,1,0.0006,1.6993,0.0,0.00455,0.00455
BLK,mkt-rf-alpha,0.0,0.0,1,2001,0.6174,0.0002,0.01095,1,0.0037,0.6577,0.00084,0.00455,0.00455
SCHW,mkt-rf-alpha,0.0,0.0,1,2001,1.8409,-0.0007,0.0,1,0.0013,2.2524,0.0,0.00455,0.00455
PGR,mkt-rf-alpha,0.0,0.0,1,2001,0.9694,0.0022,0.0,1,0.0018,1.8055,0.0,0.00455,0.00455
TD,mkt-rf-alpha,0.0,0.0,1,2001,0.9607,-0.0001,0.00384,1,0.0013,0.6558,0.0003,0.00455,0.00455
C,mkt-rf-alpha,0.0,0.0,1,2001,1.4556,0.0004,0.0,1,0.001,1.6531,0.0,0.00455,0.00455
CB,mkt-rf-alpha,0.0,0.0,1,2001,1.9205,-0.0002,0.0,1,0.004,1.4605,0.0,0.00455,0.00455
MMC,mkt-rf-alpha,0.0,0.0,1,2001,1.2388,0.0007,0.0,1,0.001,1.5831,0.0,0.00455,0.00455
MCO,mkt-rf-alpha,0.09209,0.09209,1,2001,0.7494,0.0021,0.0,1,0.0006,0.5908,0.0,0.00455,0.00455
SAN,mkt-rf-alpha,0.0,0.0,1,2001,1.5775,-0.0006,0.0,1,0.0009,0.7659,0.0,0.00455,0.00455
BMO,mkt-rf-alpha,0.0,0.0,1,2001,0.9063,-0.0006,0.0,1,0.0022,0.8033,0.0,0.00455,0.00455
BN,mkt-rf-alpha,0.0,0.0,1,2001,0.797,0.0002,0.04471,1,0.0008,0.4158,0.00344,0.00455,0.00455
USB,mkt-rf-alpha,0.0,0.0,1,2001,1.4264,-0.0002,0.0,1,-0.0,1.5998,0.0,0.00455,0.00455
AON,mkt-rf-alpha,0.0,0.0,1,2001,0.9634,0.0011,0.0,1,-0.0015,1.9145,0.0,0.00455,0.00455
PNC,mkt-rf-alpha,0.0,0.0,1,2001,1.1774,-0.0008,0.0,1,0.0019,1.4497,0.0,0.00455,0.00455
BBVA,mkt-rf-alpha,0.0,0.0,1,2001,1.3812,-0.0009,0.01909,1,0.0015,0.6422,0.00147,0.00455,0.00455
COF,mkt-rf-alpha,0.0,0.0,1,2001,1.4676,0.0,0.0,1,0.0016,1.8899,0.0,0.00455,0.00455
AJG,mkt-rf-alpha,0.73718,0.73718,1,2001,0.543,0.0023,0.0,1,0.0028,1.3948,0.0,0.00455,0.00455
AIG,mkt-rf-alpha,0.0,0.0,1,2001,1.109,-0.0002,0.0,1,0.0006,1.3291,0.0,0.00455,0.00455
TRV,mkt-rf-alpha,0.0,0.0,1,2001,1.2351,0.0003,0.0,1,0.0007,1.5773,0.0,0.00455,0.00455
TFC,mkt-rf-alpha,0.0,0.0,1,2001,0.963,0.0002,0.0,1,0.001,1.5364,0.0,0.00455,0.00455
AFL,mkt-rf-alpha,0.0,0.0,1,2001,1.4278,-0.0007,0.0,1,0.0015,0.9817,0.0,0.00455,0.00455
ING,mkt-rf-alpha,0.0,0.0,1,2001,1.3396,-0.002,0.0,1,0.0016,0.6896,0.0,0.00455,0.00455
BK,mkt-rf-alpha,0.0,0.0,1,2001,1.3934,-0.0008,0.0,1,0.0016,1.6729,0.0,0.00455,0.00455
CM,mkt-rf-alpha,0.0,0.0,1,2001,0.936,0.0004,0.06274,1,0.0016,0.6064,0.00483,0.00455,0.00455
ALL,mkt-rf-alpha,0.0,0.0,1,2001,1.0032,-0.0,0.0,1,0.0017,1.7864,0.0,0.00455,0.00455
MFC,mkt-rf-alpha,0.0,0.0,1,2001,1.1209,-0.0007,0.99113,1,0.0038,0.4022,0.07629,0.00455,0.00455
ACGL,mkt-rf-alpha,2.20376,2.20376,1,2001,0.2213,0.0028,0.13968,1,0.0009,0.2017,0.01075,0.00455,0.00455
BCS,mkt-rf-alpha,0.0,0.0,1,2001,1.2469,-0.0003,0.07717,1,0.0012,0.5454,0.00594,0.00455,0.00455
HIG,mkt-rf-alpha,0.0,0.0,1,2001,1.3089,0.0001,0.0,1,0.0018,1.7192,0.0,0.00455,0.00455
DB,mkt-rf-alpha,0.0,0.0,1,2001,1.2916,-0.0013,0.74055,1,0.0018,0.1317,0.057,0.00455,0.00455
TROW,mkt-rf-alpha,0.0,0.0,1,2001,1.6404,-0.001,0.0,1,0.0012,1.404,0.0,0.00455,0.00455
RJF,mkt-rf-alpha,0.0,0.0,1,2001,1.1273,0.0001,0.0,1,0.0035,1.858,0.0,0.00455,0.00455
FCNCA,mkt-rf-alpha,0.0,0.0,1,2001,0.3446,0.0002,0.12632,1,0.001,0.3642,0.00972,0.00455,0.00455
FITB,mkt-rf-alpha,0.0,0.0,1,2001,1.1269,0.0006,0.0,1,0.0005,1.2968,0.0,0.00455,0.00455
STT,mkt-rf-alpha,0.0,0.0,1,2001,1.4053,0.0002,0.0,1,0.0023,1.9215,0.0,0.00455,0.00455
BRO,mkt-rf-alpha,0.3089,0.3089,1,2001,0.6766,0.0022,0.0,1,0.0023,0.7637,0.0,0.00455,0.00455
IX,mkt-rf-alpha,0.0,0.0,1,2001,0.4496,-0.0,0.0,1,-0.0011,-0.1228,0.0,0.00455,0.00455
MTB,mkt-rf-alpha,0.0,0.0,1,2001,0.972,0.0008,0.0,1,0.0014,0.8625,0.0,0.00455,0.00455
WRB,mkt-rf-alpha,0.0,0.0,1,2001,0.8367,0.002,0.0,1,0.0025,0.9833,0.0,0.00455,0.00455
MKL,mkt-rf-alpha,0.0,0.0,1,2001,0.9405,0.0005,0.0,1,0.0008,0.9516,0.0,0.00455,0.00455
FDS,mkt-rf-alpha,0.00236,0.00236,1,2001,0.7693,0.0006,0.0,1,0.0018,0.7319,0.0,0.00455,0.00455
HBAN,mkt-rf-alpha,0.0,0.0,1,2001,1.0453,0.0007,0.0,1,-0.0013,1.372,0.0,0.00455,0.00455
CINF,mkt-rf-alpha,0.0,0.0,1,2001,0.8847,0.0002,0.0,1,0.0002,1.41,0.0,0.00455,0.00455
EG,mkt-rf-alpha,0.0,0.0,1,2001,1.462,0.0006,0.0,1,0.0045,1.3092,0.0,0.00455,0.00455
RF,mkt-rf-alpha,0.0,0.0,1,2001,0.8045,0.0007,0.0,1,0.0005,1.3891,0.0,0.00455,0.00455
NTRS,mkt-rf-alpha,0.0,0.0,1,2001,1.3811,-0.0006,0.0,1,0.0015,1.7616,0.0,0.00455,0.00455
L,mkt-rf-alpha,0.0,0.0,1,2001,1.2208,0.0003,0.0,1,0.001,1.2551,0.0,0.00455,0.00455
ERIE,mkt-rf-alpha,0.65545,0.65545,1,2001,0.4875,0.0018,0.0,1,0.0003,0.1808,0.0,0.00455,0.00455
BEN,mkt-rf-alpha,0.0,0.0,1,2001,1.4586,-0.0004,0.0,1,0.0003,1.6536,0.0,0.00455,0.00455
KEY,mkt-rf-alpha,0.0,0.0,1,2001,0.9729,0.0,0.0,1,0.0008,1.4504,0.0,0.00455,0.00455
CNA,mkt-rf-alpha,0.0,0.0,1,2001,1.0,-0.001,0.0,1,-0.0012,1.3634,0.0,0.00455,0.00455
BAP,mkt-rf-alpha,0.51547,0.51547,1,2001,0.4473,0.0014,0.0,1,-0.0027,0.6636,0.0,0.00455,0.00455
RNR,mkt-rf-alpha,0.0,0.0,1,2001,0.7977,0.002,0.28094,1,0.0021,0.5015,0.02163,0.00455,0.00455
GL,mkt-rf-alpha,0.0,0.0,1,2001,1.0987,0.0006,0.0,1,0.0003,1.5115,0.0,0.00455,0.00455
AEG,mkt-rf-alpha,0.0,0.0,1,2001,1.4372,-0.0013,0.0,1,0.0003,0.7269,0.0,0.00455,0.00455
AFG,mkt-rf-alpha,0.0,0.0,1,2001,1.0717,0.0003,0.0,1,-0.0004,1.0448,0.0,0.00455,0.00455
EWBC,mkt-rf-alpha,0.0,0.0,1,2001,0.8178,0.0002,0.29096,1,0.0031,0.5631,0.0224,0.00455,0.00455
UNM,mkt-rf-alpha,0.0,0.0,1,2001,1.2482,0.0008,0.0,1,-0.0005,1.6462,0.0,0.00455,0.00455
SEIC,mkt-rf-alpha,0.0,0.0,1,2001,1.7997,0.0013,0.0,1,0.0051,1.2127,0.0,0.00455,0.00455
BSAC,mkt-rf-alpha,0.0,0.0,1,2001,0.1788,0.0005,0.0,1,-0.0005,0.3824,0.0,0.00455,0.00455
JEF,mkt-rf-alpha,0.0,0.0,1,2001,1.0027,-0.0009,0.0,1,0.0017,1.2086,0.0,0.00455,0.00455
WBS,mkt-rf-alpha,0.0,0.0,1,2001,1.1142,0.0006,0.0,1,0.0013,1.4901,0.0,0.00455,0.00455
CIB,mkt-rf-alpha,0.0,0.0,1,2001,0.1603,-0.0006,0.0,1,-0.0019,0.4477,0.0,0.00455,0.00455
ORI,mkt-rf-alpha,0.0,0.0,1,2001,1.1367,0.0004,0.0,1,0.0027,1.3154,0.0,0.00455,0.00455
FHN,mkt-rf-alpha,0.10064,0.10064,1,2001,0.7295,0.0016,0.0,1,0.0007,1.5451,0.0,0.00455,0.00455
SF,mkt-rf-alpha,0.0,0.0,1,2001,0.3584,-0.0007,0.00576,1,0.0007,0.5661,0.00044,0.00455,0.00455
IVZ,mkt-rf-alpha,0.0,0.0,1,2001,2.011,-0.0009,0.0,1,0.0048,0.8478,0.0,0.00455,0.00455
CACC,mkt-rf-alpha,0.0,0.0,1,2001,0.9347,0.0016,0.0,1,0.0037,0.8509,0.0,0.00455,0.00455
CBSH,mkt-rf-alpha,0.0,0.0,1,2001,0.8331,-0.0002,0.0,1,0.0004,0.6728,0.0,0.00455,0.00455
CMA,mkt-rf-alpha,0.0,0.0,1,2001,1.0318,0.0,0.0,1,0.0008,1.4987,0.0,0.00455,0.00455
CFR,mkt-rf-alpha,0.0,0.0,1,2001,0.7579,-0.0004,0.0,1,0.0021,1.4822,0.0,0.00455,0.00455
RLI,mkt-rf-alpha,0.0,0.0,1,2001,0.3245,-0.0003,0.11045,1,0.0012,0.4957,0.0085,0.00455,0.00455
