year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.12424,0.00022,0.68315,0.66839,18.84737,0,0,0,0,0,0,0,0,0,0,0.00826,z-score,44.0,financial_services
2001,mkt-rf-alpha,0.17786,0.00047,2.13113,0.72707,29.51171,0,0,0,0,0,0,0,0,0,0,0.00846,t-value,,financial_services
2002,mkt-rf-alpha,0.41666,0.00137,3.8912,0.32805,9.60531,0,0,0,0,0,0,0,0,0,0,0.00679,z-score,73.0,financial_services
2002,mkt-rf-alpha,0.11057,0.00071,3.20743,0.81897,38.07134,0,0,0,0,0,0,0,0,0,0,0.01122,t-value,,financial_services
2003,mkt-rf-alpha,0.73199,0.002,2.60903,0.2907,2.98588,0,0,0,0,0,0,0,0,0,0,0.01205,z-score,68.0,financial_services
2003,mkt-rf-alpha,0.36926,0.00032,2.31342,0.73693,42.22272,0,0,0,0,0,0,0,0,0,0,0.00758,t-value,,financial_services
2004,mkt-rf-alpha,1.3033,0.00392,1.51152,0.64236,1.40259,0,0,0,0,0,0,0,0,0,0,0.04027,z-score,80.0,financial_services
2004,mkt-rf-alpha,0.35344,0.00063,1.28654,0.85955,10.01172,0,0,0,0,0,0,0,0,0,0,0.00991,t-value,,financial_services
2005,mkt-rf-alpha,0.50705,0.00145,2.37515,0.27209,2.36566,0,0,0,0,0,0,0,0,0,0,0.00992,z-score,77.0,financial_services
2005,mkt-rf-alpha,0.1259,0.00022,1.70467,0.93672,37.82353,0,0,0,0,0,0,0,0,0,0,0.00724,t-value,,financial_services
2006,mkt-rf-alpha,0.41532,0.00121,2.80235,0.56177,6.22913,0,0,0,0,0,0,0,0,0,0,0.00799,z-score,70.0,financial_services
2006,mkt-rf-alpha,0.19371,-8e-05,-0.63465,0.97508,38.83159,0,0,0,0,0,0,0,0,0,0,0.00728,t-value,,financial_services
2007,mkt-rf-alpha,-0.00399,0.00032,0.86626,0.67828,17.41894,0,0,0,0,0,0,0,0,0,0,0.00949,z-score,77.0,financial_services
2007,mkt-rf-alpha,-0.13213,0.00033,1.63649,1.22961,57.92618,0,0,0,0,0,0,0,0,0,0,0.0142,t-value,,financial_services
2008,mkt-rf-alpha,-0.50105,0.0005,0.47246,1.35181,23.17792,0,0,0,0,0,0,0,0,0,0,0.039,z-score,48.0,financial_services
2008,mkt-rf-alpha,-0.36374,0.00099,1.80782,1.37658,45.31082,0,0,0,0,0,0,0,0,0,0,0.04198,t-value,,financial_services
2009,mkt-rf-alpha,-0.25383,-0.00179,-2.3722,1.01667,12.7612,0,0,0,0,0,0,0,0,0,0,0.03535,z-score,40.0,financial_services
2009,mkt-rf-alpha,0.07624,-0.00091,-1.44381,1.13313,17.03809,0,0,0,0,0,0,0,0,0,0,0.03542,t-value,,financial_services
2010,mkt-rf-alpha,0.2598,0.00047,1.37241,0.49493,9.47414,0,0,0,0,0,0,0,0,0,0,0.01047,z-score,67.0,financial_services
2010,mkt-rf-alpha,0.19198,0.00014,0.88912,0.91221,38.01985,0,0,0,0,0,0,0,0,0,0,0.01304,t-value,,financial_services
2011,mkt-rf-alpha,0.05583,0.00039,1.1822,0.47658,12.55782,0,0,0,0,0,0,0,0,0,0,0.01105,z-score,77.0,financial_services
2011,mkt-rf-alpha,-0.10302,3e-05,0.18104,1.04536,50.10052,0,0,0,0,0,0,0,0,0,0,0.02139,t-value,,financial_services
2012,mkt-rf-alpha,0.22071,0.00042,1.82396,0.41133,11.6212,0,0,0,0,0,0,0,0,0,0,0.00551,z-score,94.0,financial_services
2012,mkt-rf-alpha,0.22142,6e-05,0.54992,0.83775,51.0601,0,0,0,0,0,0,0,0,0,0,0.00885,t-value,,financial_services
