sector,factor,weight,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t
technology,mkt-rf-alpha,z-score,0.00036,2.07149,1.08834,69.02919,0.47082,15.93425,-0.34893,-11.97315,-0.73719,-18.8906,-0.53931,-10.25368,-0.16527,-8.59179
technology,mkt-rf-alpha,t-value,8e-05,0.86356,1.27108,149.39286,0.44661,28.00895,-0.3676,-23.37421,-0.53617,-25.46008,-0.0149,-0.52499,-0.23503,-22.64061
communication_services,mkt-rf-alpha,z-score,8e-05,0.55715,0.91539,74.56503,0.29178,12.68204,-0.00621,-0.27355,-0.15777,-5.19208,-0.04543,-1.1093,0.00415,0.27738
communication_services,mkt-rf-alpha,t-value,-5e-05,-0.582,1.09624,130.53275,0.32663,20.75275,0.03836,2.47142,-0.06794,-3.26847,-0.02146,-0.76584,-0.1568,-15.30286
consumer_cyclical,mkt-rf-alpha,z-score,1e-05,0.08315,1.08435,67.13805,0.8097,26.75052,0.16217,5.43229,0.15781,3.94772,-0.54471,-10.10975,-0.04566,-2.31711
consumer_cyclical,mkt-rf-alpha,t-value,-4e-05,-0.37463,1.24072,119.59575,0.82782,42.57823,0.28978,15.11171,0.44594,17.36691,-0.23504,-6.79142,-0.14883,-11.75846
financial_services,mkt-rf-alpha,z-score,0.00027,1.56092,0.85363,54.92578,0.41072,14.10131,0.60566,21.08304,0.00164,0.04271,-0.38449,-7.41604,-0.011,-0.58012
financial_services,mkt-rf-alpha,t-value,-1e-05,-0.09316,1.08689,157.79613,0.50535,39.14799,0.84775,66.58595,0.12924,7.58087,-0.34791,-15.141,-0.09847,-11.71755
healthcare,mkt-rf-alpha,z-score,0.00133,4.32965,0.73029,26.20627,0.60449,11.57455,-0.23927,-4.64515,-0.53994,-7.82809,-0.25373,-2.72931,0.02842,0.83591
healthcare,mkt-rf-alpha,t-value,0.00042,4.83874,0.93733,118.2735,0.56026,37.72162,-0.31239,-21.32551,-0.35947,-18.3257,0.06939,2.62468,-0.04009,-4.1458
consumer_defensive,mkt-rf-alpha,z-score,0.00025,2.02269,0.70584,61.82645,0.41785,19.52965,0.08364,3.96376,0.28202,9.98057,0.10662,2.79963,0.09437,6.77516
consumer_defensive,mkt-rf-alpha,t-value,0.00013,2.27183,0.76895,145.82353,0.28912,29.25589,0.02247,2.3053,0.30047,23.02154,0.22897,13.01641,0.00657,1.02077
energy,mkt-rf-alpha,z-score,0.00037,1.78766,0.92675,48.84978,0.41999,11.81249,0.54279,15.47864,0.17162,3.65485,-0.19342,-3.05617,0.10656,4.60366
energy,mkt-rf-alpha,t-value,0.00017,0.38463,1.28789,31.15229,0.65074,8.39905,0.68895,9.0157,0.44072,4.307,-0.01629,-0.1181,-0.06715,-1.33119
basic_materials,mkt-rf-alpha,z-score,0.00033,1.22809,0.73634,29.97247,0.47383,10.2914,0.12034,2.65014,0.0228,0.37501,-0.04063,-0.49573,0.13403,4.47148
basic_materials,mkt-rf-alpha,t-value,-3e-05,-0.22209,1.20769,85.74667,0.53341,20.20826,0.27195,10.44619,0.37528,10.76506,0.11486,2.4447,-0.00338,-0.19657
industrials,mkt-rf-alpha,z-score,0.00029,2.39489,0.87988,80.87867,0.64064,31.42207,0.19664,9.77881,0.13592,5.04769,-0.18316,-5.04676,0.01713,1.29079
industrials,mkt-rf-alpha,t-value,-1e-05,-0.21665,1.16064,190.50971,0.7418,64.97077,0.26717,23.72543,0.34115,22.62367,0.01503,0.73936,-0.08691,-11.69218
real_estate,mkt-rf-alpha,z-score,7e-05,0.53662,0.83135,69.58581,0.46675,20.84631,0.38028,17.22051,0.15918,5.38289,-0.17957,-4.50561,0.00658,0.45116
real_estate,mkt-rf-alpha,t-value,-0.00016,-0.94463,1.14056,76.20797,0.65977,23.52254,0.71366,25.79748,0.36627,9.88739,-0.31926,-6.39456,-0.18403,-10.07814
utilities,mkt-rf-alpha,z-score,3e-05,0.29612,0.72284,69.3354,0.05041,2.57995,0.1314,6.81882,0.17161,6.65069,0.23565,6.77575,0.1662,13.06611
utilities,mkt-rf-alpha,t-value,-5e-05,-0.51655,0.84449,91.80145,0.05758,3.33995,0.10391,6.111,0.27832,12.22386,0.41542,13.53687,0.05266,4.69198
all,mkt-rf-alpha,z-score,0.00082,6.37584,0.77879,66.43449,0.50069,22.79032,0.01893,0.87354,-0.21362,-7.36224,-0.20533,-5.25046,0.05506,3.84931
all,mkt-rf-alpha,t-value,9e-05,1.44858,1.10206,192.20279,0.55245,51.41083,0.2456,23.17317,0.10568,7.4467,-0.06857,-3.58471,-0.08016,-11.45894
