mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.01132,0.9888,-0.02849,0.86784,-0.02849,0.86784,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.04626,1.03857,0.01424,0.88001,0.01424,0.88001,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,0.01282,1.05426,-0.03387,0.85224,-0.03387,0.85224,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,0.0013,1.0524,-0.02317,0.83441,-0.02317,0.83441,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,0.00227,1.05493,-0.00953,0.8274,-0.00953,0.8274,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,-0.02131,1.03354,0.00801,0.83297,0.00801,0.83297,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.01743,1.0472,0.01935,0.84709,0.01935,0.84709,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.01794,1.0697,0.02299,0.86626,0.02299,0.86626,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,0.00924,1.08173,0.00894,0.87375,0.00894,0.87375,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.05046,1.14501,0.02496,0.89695,0.02496,0.89695,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,-0.01215,1.13576,-0.01227,0.88762,-0.01227,0.88762,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,0.01216,1.15978,0.00104,0.89043,0.00104,0.89043,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,0.00539,1.17118,-0.01372,0.87931,-0.01372,0.87931,-0.0055
