ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
LLY,mkt-rf-alpha,0.0,0.0,1,2001,0.7475,0.0,0.0,1,0.0007,0.6654,0.0,0.00826,0.00826
NVO,mkt-rf-alpha,0.0,0.0,1,2001,0.5126,0.0004,0.0,1,0.0011,0.3331,0.0,0.00826,0.00826
UNH,mkt-rf-alpha,0.0,0.0,1,2001,1.06,0.0014,0.0,1,0.0023,1.1523,0.0,0.00826,0.00826
MRK,mkt-rf-alpha,0.0,0.0,1,2001,0.6751,-0.0011,0.0,1,0.0011,0.7879,0.0,0.00826,0.00826
TMO,mkt-rf-alpha,0.0,0.0,1,2001,1.4163,-0.0003,0.0,1,0.0022,1.0672,0.0,0.00826,0.00826
NVS,mkt-rf-alpha,0.0,0.0,1,2001,0.5685,-0.0004,0.0,1,0.0007,0.2808,0.0,0.00826,0.00826
AZN,mkt-rf-alpha,0.0,0.0,1,2001,0.8422,-0.0,0.0,1,0.0008,0.5755,0.0,0.00826,0.00826
ABT,mkt-rf-alpha,0.0,0.0,1,2001,0.8633,0.0012,0.0,1,0.0009,0.785,0.0,0.00826,0.00826
DHR,mkt-rf-alpha,0.0,0.0,1,2001,1.0779,-0.0002,0.0,1,0.002,1.0326,0.0,0.00826,0.00826
AMGN,mkt-rf-alpha,0.0,0.0,1,2001,1.276,0.0016,0.0,1,0.0013,1.0984,0.0,0.00826,0.00826
PFE,mkt-rf-alpha,0.0,0.0,1,2001,0.9333,0.0001,0.0,1,0.0016,0.7249,0.0,0.00826,0.00826
SYK,mkt-rf-alpha,0.0,0.0,1,2001,1.0363,0.0012,0.0,1,0.0019,1.1107,0.0,0.00826,0.00826
MDT,mkt-rf-alpha,0.0,0.0,1,2001,1.0359,0.0003,0.0,1,0.0021,1.0429,0.0,0.00826,0.00826
VRTX,mkt-rf-alpha,0.0,0.0,1,2001,1.7442,0.0,0.0,1,0.0088,1.5389,0.0,0.00826,0.00826
REGN,mkt-rf-alpha,0.0,0.0,1,2001,1.976,0.0002,0.0,1,0.0068,1.6731,0.0,0.00826,0.00826
BMY,mkt-rf-alpha,0.0,0.0,1,2001,1.0467,-0.0008,0.0,1,0.0007,0.9222,0.0,0.00826,0.00826
CVS,mkt-rf-alpha,0.0,0.0,1,2001,1.1168,-0.0025,0.0,1,0.002,0.9752,0.0,0.00826,0.00826
CI,mkt-rf-alpha,0.0,0.0,1,2001,1.1927,-0.0001,0.0,1,0.0013,0.7729,0.0,0.00826,0.00826
BSX,mkt-rf-alpha,0.07885,0.07885,1,2001,0.8602,0.0021,0.0,1,-0.0017,1.1088,0.0,0.00826,0.00826
GILD,mkt-rf-alpha,0.0,0.0,1,2001,1.9751,0.0064,0.0,1,0.0019,1.3618,0.0,0.00826,0.00826
GSK,mkt-rf-alpha,0.0,0.0,1,2001,0.7795,0.0003,0.0,1,0.0001,0.9278,0.0,0.00826,0.00826
BDX,mkt-rf-alpha,0.0,0.0,1,2001,0.9354,0.0008,0.0,1,0.001,0.9024,0.0,0.00826,0.00826
MCK,mkt-rf-alpha,0.0,0.0,1,2001,1.0315,0.001,0.0,1,0.0021,0.6027,0.0,0.00826,0.00826
COR,mkt-rf-alpha,0.05111,0.05111,1,2001,0.8963,0.002,0.0,1,0.0049,1.4714,0.0,0.00826,0.00826
IDXX,mkt-rf-alpha,0.0,0.0,1,2001,1.2691,0.0016,0.02761,1,0.0027,0.8111,0.00219,0.00826,0.00826
HUM,mkt-rf-alpha,0.0,0.0,1,2001,1.8888,-0.0001,0.0,1,0.0019,1.8905,0.0,0.00826,0.00826
A,mkt-rf-alpha,0.0,0.0,1,2001,0.8915,-0.0011,0.0,1,0.0022,1.4424,0.0,0.00826,0.00826
BIIB,mkt-rf-alpha,0.0,0.0,1,2001,1.4954,0.0053,0.0,1,0.0053,1.3303,0.0,0.00826,0.00826
WST,mkt-rf-alpha,0.0,0.0,1,2001,0.7091,-0.0003,0.0,1,-0.0004,0.4587,0.0,0.00826,0.00826
RMD,mkt-rf-alpha,0.04833,0.04833,1,2001,0.8629,0.0018,0.0,1,0.0045,1.3154,0.0,0.00826,0.00826
MTD,mkt-rf-alpha,0.0,0.0,1,2001,0.9126,0.0002,0.0,1,0.0024,1.0108,0.0,0.00826,0.00826
CAH,mkt-rf-alpha,0.0,0.0,1,2001,0.6596,0.0006,0.0,1,0.0028,1.1356,0.0,0.00826,0.00826
STE,mkt-rf-alpha,0.0,0.0,1,2001,1.626,0.0002,0.01284,1,0.0024,0.5114,0.00102,0.00826,0.00826
ICLR,mkt-rf-alpha,0.43284,0.43284,1,2001,0.7082,0.0034,0.0,1,0.0009,-0.177,0.0,0.00826,0.00826
BAX,mkt-rf-alpha,0.0,0.0,1,2001,0.7054,0.0007,0.0,1,0.0009,0.8921,0.0,0.00826,0.00826
WBA,mkt-rf-alpha,0.0,0.0,1,2001,1.0101,-0.0013,0.0,1,0.0013,0.8018,0.0,0.00826,0.00826
WAT,mkt-rf-alpha,0.0,0.0,1,2001,1.7405,-0.0014,0.03011,1,0.005,0.9249,0.00238,0.00826,0.00826
LH,mkt-rf-alpha,0.0,0.0,1,2001,1.1792,0.0017,0.0,1,0.0048,1.2742,0.0,0.00826,0.00826
COO,mkt-rf-alpha,0.0,0.0,1,2001,0.7817,0.0012,0.0,1,0.0008,0.9339,0.0,0.00826,0.00826
PHG,mkt-rf-alpha,0.0,0.0,1,2001,1.4942,-0.0003,0.0,1,0.0035,0.9542,0.0,0.00826,0.00826
HOLX,mkt-rf-alpha,0.66983,0.66983,1,2001,0.3233,0.0027,0.0,1,0.0002,0.9041,0.0,0.00826,0.00826
BMRN,mkt-rf-alpha,0.0,0.0,1,2001,1.6944,0.003,0.0,1,0.0009,1.2982,0.0,0.00826,0.00826
DGX,mkt-rf-alpha,0.0,0.0,1,2001,1.7517,0.0017,0.7578,1,0.007,0.6694,0.05999,0.00826,0.00826
VTRS,mkt-rf-alpha,0.01981,0.01981,1,2001,0.9715,0.0023,0.0,1,0.0015,0.3826,0.0,0.00826,0.00826
TEVA,mkt-rf-alpha,0.0,0.0,1,2001,0.9849,0.0006,0.0,1,0.003,1.0374,0.0,0.00826,0.00826
NBIX,mkt-rf-alpha,0.0,0.0,1,2001,2.0093,0.0052,0.0,1,0.0037,1.8977,0.0,0.00826,0.00826
INCY,mkt-rf-alpha,0.0,0.0,1,2001,1.8678,0.0017,0.0,1,0.0043,1.5272,0.0,0.00826,0.00826
RVTY,mkt-rf-alpha,0.0,0.0,1,2001,1.3367,0.0002,0.0,1,0.0048,1.2989,0.0,0.00826,0.00826
SNN,mkt-rf-alpha,0.0,0.0,1,2001,0.4815,0.0005,0.0,1,0.0013,0.4414,0.0,0.00826,0.00826
SRPT,mkt-rf-alpha,0.0,0.0,1,2001,1.4864,0.0056,0.0,1,0.0028,1.6537,0.0,0.00826,0.00826
TFX,mkt-rf-alpha,0.0,0.0,1,2001,1.3462,-0.0002,0.0,1,0.0014,1.0456,0.0,0.00826,0.00826
FMS,mkt-rf-alpha,0.0,0.0,1,2001,0.6811,-0.0009,0.0,1,0.0005,0.1751,0.0,0.00826,0.00826
RGEN,mkt-rf-alpha,0.55106,0.55106,1,2001,-0.1131,0.002,0.03056,1,0.0037,0.9059,0.00242,0.00826,0.00826
TECH,mkt-rf-alpha,0.0,0.0,1,2001,1.3596,0.0016,0.4016,1,0.0044,0.6139,0.03179,0.00826,0.00826
DVA,mkt-rf-alpha,0.04121,0.04121,1,2001,0.9163,0.002,0.0,1,0.0044,2.1894,0.0,0.00826,0.00826
UHS,mkt-rf-alpha,0.0,0.0,1,2001,0.9104,0.0003,0.09592,1,0.0034,0.7901,0.00759,0.00826,0.00826
UTHR,mkt-rf-alpha,0.0,0.0,1,2001,1.1193,0.0013,0.0,1,-0.0011,0.5262,0.0,0.00826,0.00826
HSIC,mkt-rf-alpha,0.0,0.0,1,2001,0.6983,0.0009,0.0,1,0.003,1.5153,0.0,0.00826,0.00826
QGEN,mkt-rf-alpha,0.0,0.0,1,2001,1.3858,0.0009,0.0,1,0.0041,1.1413,0.0,0.00826,0.00826
BIO,mkt-rf-alpha,0.0,0.0,1,2001,1.0573,0.0026,0.0,1,0.0017,0.1976,0.0,0.00826,0.00826
THC,mkt-rf-alpha,0.0,0.0,1,2001,0.9123,0.0013,0.0,1,0.0009,1.0911,0.0,0.00826,0.00826
CHE,mkt-rf-alpha,0.0,0.0,1,2001,0.9555,-0.0002,0.0,1,0.001,0.5872,0.0,0.00826,0.00826
ATR,mkt-rf-alpha,0.0,0.0,1,2001,1.0031,0.0006,0.0,1,0.0004,1.2445,0.0,0.00826,0.00826
IMGN,mkt-rf-alpha,0.0,0.0,1,2001,3.143,0.0042,0.0,1,0.0106,1.4058,0.0,0.00826,0.00826
ACHC,mkt-rf-alpha,0.38154,0.38154,1,2001,0.8409,0.0047,0.0,1,-0.0031,-0.286,0.0,0.00826,0.00826
EHC,mkt-rf-alpha,0.0,0.0,1,2001,1.1527,0.0006,0.0,1,0.0036,1.5506,0.0,0.00826,0.00826
XRAY,mkt-rf-alpha,0.0,0.0,1,2001,0.9458,0.0012,0.0,1,0.0019,0.5956,0.0,0.00826,0.00826
IONS,mkt-rf-alpha,0.0,0.0,1,2001,1.962,0.0048,0.0,1,0.0042,1.7781,0.0,0.00826,0.00826
OPCH,mkt-rf-alpha,0.72474,0.72474,1,2001,0.9112,0.0129,0.0,1,-0.0035,1.5581,0.0,0.00826,0.00826
QDEL,mkt-rf-alpha,0.99402,0.99402,1,2001,0.6298,0.0051,0.0,1,-0.0022,1.1988,0.0,0.00826,0.00826
MMSI,mkt-rf-alpha,1.87984,1.87984,1,2001,0.5075,0.0067,0.0,1,-0.001,0.4053,0.0,0.00826,0.00826
ALKS,mkt-rf-alpha,0.0,0.0,1,2001,1.9338,0.0027,0.0,1,0.0055,1.3933,0.0,0.00826,0.00826
PRGO,mkt-rf-alpha,0.27765,0.27765,1,2001,0.509,0.0021,0.0,1,0.0006,0.2274,0.0,0.00826,0.00826
HAE,mkt-rf-alpha,0.0,0.0,1,2001,0.7423,0.0005,0.0,1,0.0016,0.7972,0.0,0.00826,0.00826
ARWR,mkt-rf-alpha,0.0,0.0,1,2001,0.035,-0.0031,1.61618,1,0.0101,0.5926,0.11449,0.00826,0.00826
AZTA,mkt-rf-alpha,0.0,0.0,1,2001,1.1458,0.0028,0.0,1,0.0039,1.5835,0.0,0.00826,0.00826
NEOG,mkt-rf-alpha,-0.0,-0.0,1,2001,0.9995,0.0045,0.4132,1,0.0032,0.1248,0.03271,0.00826,0.00826
IART,mkt-rf-alpha,1.78364,1.78364,1,2001,0.0992,0.0041,0.0,1,0.003,1.2536,0.0,0.00826,0.00826
AMED,mkt-rf-alpha,0.39363,0.39363,1,2001,0.7677,0.0037,4.06106,1,0.007,-0.5278,0.11449,0.00826,0.00826
BHC,mkt-rf-alpha,0.0,0.0,1,2001,1.3246,0.0027,0.0615,1,0.0029,0.7556,0.00487,0.00826,0.00826
PDCO,mkt-rf-alpha,0.02196,0.02196,1,2001,0.6891,0.0014,0.0,1,0.0027,1.053,0.0,0.00826,0.00826
CNMD,mkt-rf-alpha,0.04284,0.04284,1,2001,0.913,0.002,0.0,1,0.0006,0.1287,0.0,0.00826,0.00826
RDNT,mkt-rf-alpha,7.97603,7.97603,1,2001,-0.7898,0.0076,5.0,1,0.0095,-0.4809,0.11449,0.00826,0.00826
ICUI,mkt-rf-alpha,0.0,0.0,1,2001,0.2053,0.0012,0.0,1,0.0028,1.0406,0.0,0.00826,0.00826
VCEL,mkt-rf-alpha,1.17891,1.17891,1,2001,0.4946,0.0046,1.64274,1,0.0082,0.4708,0.11449,0.00826,0.00826
CLDX,mkt-rf-alpha,0.0,0.0,1,2001,2.0884,0.0,0.0,1,0.0067,1.8966,0.0,0.00826,0.00826
MYGN,mkt-rf-alpha,0.0,0.0,1,2001,3.1942,0.0045,0.0,1,0.008,2.105,0.0,0.00826,0.00826
TARO,mkt-rf-alpha,0.0,0.0,1,2001,1.3327,0.0054,0.0,1,0.0031,1.9715,0.0,0.00826,0.00826
OMI,mkt-rf-alpha,0.0,0.0,1,2001,0.9717,0.0003,0.04969,1,0.0034,0.8643,0.00393,0.00826,0.00826
STAA,mkt-rf-alpha,0.0,0.0,1,2001,1.0033,-0.0041,0.05336,1,0.0025,0.3445,0.00422,0.00826,0.00826
AVDL,mkt-rf-alpha,0.0,0.0,1,2001,1.4809,-0.002,0.0,1,0.0083,0.9924,0.0,0.00826,0.00826
USPH,mkt-rf-alpha,0.64558,0.64558,1,2001,0.6028,0.0036,1.40592,1,0.0042,-0.3367,0.11129,0.00826,0.00826
NHC,mkt-rf-alpha,0.07889,0.07889,1,2001,0.888,0.0023,0.45945,1,0.003,-0.2472,0.03637,0.00826,0.00826
UFPT,mkt-rf-alpha,0.0,0.0,1,2001,0.2746,0.0002,0.0,1,-0.0018,0.4351,0.0,0.00826,0.00826
LGND,mkt-rf-alpha,0.0,0.0,1,2001,1.7053,0.0032,0.0,1,0.0022,1.5804,0.0,0.00826,0.00826
BCRX,mkt-rf-alpha,0.0,0.0,1,2001,0.3252,-0.0016,0.0,1,-0.0036,1.7625,0.0,0.00826,0.00826
GERN,mkt-rf-alpha,0.0,0.0,1,2001,1.9007,0.0002,0.0,1,0.0069,1.6904,0.0,0.00826,0.00826
MDRX,mkt-rf-alpha,0.0,0.0,1,2001,2.1944,-0.0024,0.0,1,-0.0051,1.3488,0.0,0.00826,0.00826
BLFS,mkt-rf-alpha,0.0,0.0,1,2001,1.5283,0.007,1.88334,1,0.0054,-0.0966,0.11449,0.00826,0.00826
SLP,mkt-rf-alpha,0.0,0.0,1,2001,0.5516,-0.0035,0.97243,1,0.0045,0.1818,0.07698,0.00826,0.00826
OPK,mkt-rf-alpha,0.0,0.0,1,2001,0.1627,-0.0006,0.0,1,0.0025,0.9779,0.0,0.00826,0.00826
