year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.64658,0.00198,1.37823,0.60651,3.79761,0,0,0,0,0,0,0,0,0,0,0.02259,z-score,21.0,healthcare
2001,mkt-rf-alpha,0.26331,0.00142,3.93738,1.01841,25.37251,0,0,0,0,0,0,0,0,0,0,0.01315,t-value,,healthcare
2002,mkt-rf-alpha,-0.18799,-0.00012,-0.11671,0.79413,8.18317,0,0,0,0,0,0,0,0,0,0,0.01906,z-score,28.0,healthcare
2002,mkt-rf-alpha,-0.0822,0.00073,1.23634,1.07886,18.80206,0,0,0,0,0,0,0,0,0,0,0.0183,t-value,,healthcare
2003,mkt-rf-alpha,0.74845,0.00158,2.16596,0.40962,4.43312,0,0,0,0,0,0,0,0,0,0,0.01199,z-score,29.0,healthcare
2003,mkt-rf-alpha,0.60044,0.00068,2.41883,0.74911,20.8474,0,0,0,0,0,0,0,0,0,0,0.00921,t-value,,healthcare
2004,mkt-rf-alpha,0.41243,0.00139,1.30055,0.36098,1.90869,0,0,0,0,0,0,0,0,0,0,0.01749,z-score,40.0,healthcare
2004,mkt-rf-alpha,0.18372,0.00018,0.75938,0.89422,20.8444,0,0,0,0,0,0,0,0,0,0,0.00959,t-value,,healthcare
2005,mkt-rf-alpha,0.34037,0.00093,0.9068,0.70686,3.66054,0,0,0,0,0,0,0,0,0,0,0.01646,z-score,34.0,healthcare
2005,mkt-rf-alpha,0.17627,0.00056,2.65543,0.78466,19.60007,0,0,0,0,0,0,0,0,0,0,0.00746,t-value,,healthcare
2006,mkt-rf-alpha,-0.01355,0.00039,0.54438,0.08137,0.54219,0,0,0,0,0,0,0,0,0,0,0.013,z-score,28.0,healthcare
2006,mkt-rf-alpha,0.22484,0.00051,2.52974,0.70145,16.6467,0,0,0,0,0,0,0,0,0,0,0.00715,t-value,,healthcare
2007,mkt-rf-alpha,0.05777,6e-05,0.0714,0.6463,6.84189,0,0,0,0,0,0,0,0,0,0,0.01519,z-score,42.0,healthcare
2007,mkt-rf-alpha,0.12047,0.00019,1.05817,0.70757,36.19388,0,0,0,0,0,0,0,0,0,0,0.00788,t-value,,healthcare
2008,mkt-rf-alpha,-0.48748,0.0002,0.2009,0.97882,17.72501,0,0,0,0,0,0,0,0,0,0,0.03066,z-score,34.0,healthcare
2008,mkt-rf-alpha,-0.33668,0.00142,1.94339,1.1971,29.65361,0,0,0,0,0,0,0,0,0,0,0.03119,t-value,,healthcare
2009,mkt-rf-alpha,1.14392,0.00291,1.62138,0.50785,2.68078,0,0,0,0,0,0,0,0,0,0,0.02849,z-score,34.0,healthcare
2009,mkt-rf-alpha,0.51749,0.00067,1.4513,0.86317,17.6264,0,0,0,0,0,0,0,0,0,0,0.01618,t-value,,healthcare
2010,mkt-rf-alpha,0.74412,0.0021,1.65011,0.63567,3.29495,0,0,0,0,0,0,0,0,0,0,0.02183,z-score,45.0,healthcare
2010,mkt-rf-alpha,0.24699,0.00019,0.81127,0.88072,25.4015,0,0,0,0,0,0,0,0,0,0,0.01131,t-value,,healthcare
2011,mkt-rf-alpha,0.96133,0.00329,2.02481,0.47658,2.5545,0,0,0,0,0,0,0,0,0,0,0.02714,z-score,52.0,healthcare
2011,mkt-rf-alpha,0.02538,0.00026,0.99239,0.93061,30.89123,0,0,0,0,0,0,0,0,0,0,0.01722,t-value,,healthcare
2012,mkt-rf-alpha,1.769,0.00436,2.90463,0.02717,0.11695,0,0,0,0,0,0,0,0,0,0,0.02383,z-score,49.0,healthcare
2012,mkt-rf-alpha,0.37023,0.00081,3.14573,0.73754,18.52579,0,0,0,0,0,0,0,0,0,0,0.00821,t-value,,healthcare
2013,mkt-rf-alpha,1.77136,0.00469,2.16783,-0.2078,-0.55249,0,0,0,0,0,0,0,0,0,0,0.03392,z-score,35.0,healthcare
2013,mkt-rf-alpha,0.59484,0.00099,2.96915,0.62487,10.80287,0,0,0,0,0,0,0,0,0,0,0.00759,t-value,,healthcare
2014,mkt-rf-alpha,0.16586,0.00083,0.75342,0.65116,3.6439,0,0,0,0,0,0,0,0,0,0,0.02314,z-score,45.0,healthcare
2014,mkt-rf-alpha,0.2195,0.00055,2.94403,0.76598,25.19299,0,0,0,0,0,0,0,0,0,0,0.01016,t-value,,healthcare
2015,mkt-rf-alpha,1.19408,0.00416,1.02334,0.20479,0.45675,0,0,0,0,0,0,0,0,0,0,0.06652,z-score,51.0,healthcare
2015,mkt-rf-alpha,0.17868,0.00049,1.76374,0.84255,27.40474,0,0,0,0,0,0,0,0,0,0,0.01148,t-value,,healthcare
2016,mkt-rf-alpha,0.00159,0.0003,0.23457,0.85438,4.69416,0,0,0,0,0,0,0,0,0,0,0.02415,z-score,45.0,healthcare
2016,mkt-rf-alpha,-0.03201,-0.0001,-0.31759,0.9408,21.38605,0,0,0,0,0,0,0,0,0,0,0.01534,t-value,,healthcare
2017,mkt-rf-alpha,0.53281,0.00115,2.22375,0.7744,5.67866,0,0,0,0,0,0,0,0,0,0,0.01044,z-score,50.0,healthcare
2017,mkt-rf-alpha,0.3335,0.00051,2.18334,0.76318,12.48927,0,0,0,0,0,0,0,0,0,0,0.00708,t-value,,healthcare
2018,mkt-rf-alpha,-0.01788,0.00022,0.30034,1.02973,13.48377,0,0,0,0,0,0,0,0,0,0,0.019,z-score,64.0,healthcare
2018,mkt-rf-alpha,0.06723,0.0004,1.71021,0.86797,35.13131,0,0,0,0,0,0,0,0,0,0,0.01146,t-value,,healthcare
2019,mkt-rf-alpha,0.45129,0.00063,1.25663,0.85328,11.22679,0,0,0,0,0,0,0,0,0,0,0.01216,z-score,72.0,healthcare
2019,mkt-rf-alpha,0.35324,0.00038,1.71148,0.87301,25.9485,0,0,0,0,0,0,0,0,0,0,0.01006,t-value,,healthcare
2020,mkt-rf-alpha,0.45023,0.00028,0.26498,1.04041,19.74242,0,0,0,0,0,0,0,0,0,0,0.0308,z-score,72.0,healthcare
2020,mkt-rf-alpha,0.38691,4e-05,0.09233,1.09406,48.40214,0,0,0,0,0,0,0,0,0,0,0.02592,t-value,,healthcare
2021,mkt-rf-alpha,0.318,0.00176,3.03048,0.28996,3.64281,0,0,0,0,0,0,0,0,0,0,0.01449,z-score,75.0,healthcare
2021,mkt-rf-alpha,0.11728,0.00056,2.24965,0.67138,19.58412,0,0,0,0,0,0,0,0,0,0,0.01178,t-value,,healthcare
2022,mkt-rf-alpha,-0.17753,0.00165,1.27584,1.11581,10.80544,0,0,0,0,0,0,0,0,0,0,0.03512,z-score,98.0,healthcare
2022,mkt-rf-alpha,-0.18507,0.00093,1.5056,1.06468,21.48191,0,0,0,0,0,0,0,0,0,0,0.02769,t-value,,healthcare
2023,mkt-rf-alpha,0.22577,0.0009,1.03525,0.74458,5.98754,0,0,0,0,0,0,0,0,0,0,0.01907,z-score,110.0,healthcare
2023,mkt-rf-alpha,0.30111,0.00079,2.27466,0.78076,15.73309,0,0,0,0,0,0,0,0,0,0,0.01271,t-value,,healthcare
