mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.01795,0.98237,-0.02266,0.95998,-0.02266,0.95998,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.0094,0.99114,0.03772,0.99702,0.03772,0.99702,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,-0.0005,0.99115,0.00735,1.00438,0.00735,1.00438,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,-0.00034,0.99038,-0.01216,0.99309,-0.01216,0.99309,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,-0.00198,0.98849,-0.00025,0.99363,-0.00025,0.99363,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,0.0226,1.00982,0.00281,0.99825,0.00281,0.99825,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.00944,1.01945,0.01052,1.01084,0.01052,1.01084,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.00752,1.02758,0.01165,1.02059,0.01165,1.02059,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,-0.01758,1.00745,-0.00458,1.01755,-0.00458,1.01755,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.02113,1.02986,0.01222,1.03006,0.01222,1.03006,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,-0.00252,1.02661,0.0018,1.03111,0.0018,1.03111,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,-0.00733,1.0187,0.00246,1.03176,0.00246,1.03176,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,0.00734,1.0263,-0.00506,1.02406,-0.00506,1.02406,-0.0055
-0.0001,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.01056,1.03798,0.0009,1.02463,0.0009,1.02463,-0.0001
0.0157,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,0.02328,1.06472,0.01381,1.04088,0.01381,1.04088,0.0157
0.0034,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,-0.00463,1.06002,-0.00151,1.03846,-0.00151,1.03846,0.0034
-0.0081,0.0004,0.0141,0.0167,0.017,0.0239,2001-01-25,0.00026,mkt-rf-alpha,-0.01322,1.04444,4e-05,1.03628,4e-05,1.03628,-0.0081
-0.0011,0.0021,-0.0021,-0.0003,-0.0019,0.001,2001-01-26,0.00026,mkt-rf-alpha,-0.00844,1.03199,0.00332,1.04016,0.00332,1.04016,-0.0011
0.009,0.0061,-0.0034,-0.0084,-0.0079,-0.0153,2001-01-29,0.00026,mkt-rf-alpha,0.00901,1.04322,0.01061,1.0537,0.01061,1.0537,0.009
0.0063,0.0004,-0.0028,-0.0014,0.0002,-0.0105,2001-01-30,0.00026,mkt-rf-alpha,-0.00503,1.03768,0.00586,1.06043,0.00586,1.06043,0.0063
-0.0072,0.0043,0.0032,0.0125,0.0072,0.0055,2001-01-31,0.00026,mkt-rf-alpha,-0.012,1.02304,0.00319,1.06415,0.00319,1.06415,-0.0072
0.0039,-0.0015,0.0056,0.009,0.0008,0.0028,2001-02-01,0.0002,mkt-rf-alpha,0.00868,1.03237,0.00359,1.0689,0.00359,1.0689,0.0039
-0.019,0.0041,0.0215,0.0142,0.0158,0.0298,2001-02-02,0.0002,mkt-rf-alpha,-0.00306,1.02884,-0.00645,1.06038,-0.00645,1.06038,-0.019
0.0017,-0.003,0.0099,0.0049,0.003,0.0161,2001-02-05,0.0002,mkt-rf-alpha,-0.00322,1.02285,0.00242,1.06181,0.00242,1.06181,0.0017
0.0004,0.0087,-0.006,0.0006,0.0004,-0.0036,2001-02-06,0.0002,mkt-rf-alpha,0.0031,1.02642,0.00248,1.06368,0.00248,1.06368,0.0004
-0.0086,0.0107,0.014,0.0115,0.0114,0.0233,2001-02-07,0.0002,mkt-rf-alpha,-0.00573,1.02056,0.00224,1.06573,0.00224,1.06573,-0.0086
-0.0067,-0.0007,0.0091,0.0022,0.0051,0.0074,2001-02-08,0.0002,mkt-rf-alpha,0.03609,1.05741,-0.00229,1.06214,-0.00229,1.06214,-0.0067
-0.0142,0.0028,0.0127,0.009,0.0133,0.0231,2001-02-09,0.0002,mkt-rf-alpha,0.00724,1.06919,-0.00574,1.05618,-0.00574,1.05618,-0.0142
0.011,0.0017,0.0012,0.0069,0.0035,-0.006,2001-02-12,0.0002,mkt-rf-alpha,0.00541,1.07344,0.00956,1.06644,0.00956,1.06644,0.011
-0.009,0.0055,0.0089,0.0028,0.0054,0.0114,2001-02-13,0.0002,mkt-rf-alpha,-0.0121,1.05489,0.00282,1.0688,0.00282,1.0688,-0.009
-0.0004,0.0014,-0.0035,-0.0052,-0.0087,-0.0096,2001-02-14,0.0002,mkt-rf-alpha,-0.00526,1.04919,-0.00135,1.06797,-0.00135,1.06797,-0.0004
0.0093,0.0006,-0.0101,-0.0014,-0.0087,-0.0208,2001-02-15,0.0002,mkt-rf-alpha,0.01501,1.06731,0.01221,1.08485,0.01221,1.08485,0.0093
-0.0193,-0.0001,0.0191,0.014,0.0177,0.033,2001-02-16,0.0002,mkt-rf-alpha,-0.00826,1.05718,-0.01254,1.07034,-0.01254,1.07034,-0.0193
-0.0193,0.0062,0.0136,0.0147,0.0159,0.018,2001-02-20,0.0002,mkt-rf-alpha,-0.00561,1.05035,-0.00712,1.06304,-0.00712,1.06304,-0.0193
-0.0184,0.0017,0.0092,0.0007,0.0052,0.0048,2001-02-21,0.0002,mkt-rf-alpha,-0.00612,1.04383,-0.0086,1.05298,-0.0086,1.05298,-0.0184
-0.0048,-0.0085,0.0052,0.0075,0.0009,0.0005,2001-02-22,0.0002,mkt-rf-alpha,0.0054,1.04905,-0.00661,1.04264,-0.00661,1.04264,-0.0048
-0.0038,0.0016,-0.0044,-0.0032,-0.0022,-0.0014,2001-02-23,0.0002,mkt-rf-alpha,-0.00756,1.04164,-0.00286,1.03977,-0.00286,1.03977,-0.0038
0.0191,-0.0011,-0.002,-0.0058,-0.0022,-0.0066,2001-02-26,0.0002,mkt-rf-alpha,0.02102,1.06505,0.01521,1.05381,0.01521,1.05381,0.0191
-0.0117,-0.0064,0.0173,0.0126,0.0144,0.0262,2001-02-27,0.0002,mkt-rf-alpha,-0.00854,1.05457,-0.00865,1.04308,-0.00865,1.04308,-0.0117
-0.0148,0.0056,0.0087,0.0022,0.0106,0.0106,2001-02-28,0.0002,mkt-rf-alpha,0.00011,1.05506,-0.00435,1.04036,-0.00435,1.04036,-0.0148
0.0002,-0.0041,-0.0006,-0.0013,-0.0054,-0.0059,2001-03-01,0.00019,mkt-rf-alpha,0.00917,1.06149,0.00086,1.04004,0.00086,1.04004,0.0002
-0.0053,0.0095,0.0098,0.0002,0.0142,0.016,2001-03-02,0.00019,mkt-rf-alpha,-0.00703,1.05304,0.00675,1.04851,0.00675,1.04851,-0.0053
0.0054,-0.0071,0.0004,-0.0038,0.0016,-0.0078,2001-03-05,0.00019,mkt-rf-alpha,0.00923,1.06348,0.00633,1.05672,0.00633,1.05672,0.0054
0.0106,-0.0001,-0.0102,-0.007,-0.0138,-0.0239,2001-03-06,0.00019,mkt-rf-alpha,0.00075,1.06168,0.00388,1.05845,0.00388,1.05845,0.0106
0.0058,0.0017,0.0046,0.0007,0.0024,0.0067,2001-03-07,0.00019,mkt-rf-alpha,0.00175,1.0623,0.00818,1.06944,0.00818,1.06944,0.0058
-0.0014,-0.0039,0.0084,0.0105,0.0109,0.0181,2001-03-08,0.00019,mkt-rf-alpha,0.00994,1.07409,0.00343,1.07322,0.00343,1.07322,-0.0014
-0.025,0.0086,0.0184,0.0062,0.0188,0.0307,2001-03-09,0.00019,mkt-rf-alpha,0.00561,1.08116,-0.00979,1.06296,-0.00979,1.06296,-0.025
-0.0434,0.0117,0.0242,0.0111,0.0149,0.0243,2001-03-12,0.00019,mkt-rf-alpha,-0.01419,1.06544,-0.02075,1.04173,-0.02075,1.04173,-0.0434
0.0161,-0.0072,-0.0136,-0.0042,-0.0191,-0.0313,2001-03-13,0.00019,mkt-rf-alpha,-0.00055,1.06355,0.00312,1.04725,0.00312,1.04725,0.0161
-0.025,0.0071,0.0014,-0.0018,0.0016,0.0031,2001-03-14,0.00019,mkt-rf-alpha,-0.02293,1.03734,-0.01625,1.0284,-0.01625,1.0284,-0.025
0.0034,-0.0043,0.0045,0.0011,0.0016,0.0093,2001-03-15,0.00019,mkt-rf-alpha,0.01044,1.04985,0.00274,1.03528,0.00274,1.03528,0.0034
-0.0211,-0.0004,0.0123,0.0071,0.0014,0.0143,2001-03-16,0.00019,mkt-rf-alpha,-0.01295,1.03724,-0.01975,1.01172,-0.01975,1.01172,-0.0211
0.0186,-0.0035,-0.0131,-0.0007,-0.0044,-0.0159,2001-03-19,0.00019,mkt-rf-alpha,0.01361,1.05449,0.0111,1.01897,0.0111,1.01897,0.0186
-0.024,0.0105,0.0139,0.0027,0.0099,0.0238,2001-03-20,0.00019,mkt-rf-alpha,-0.00415,1.04833,-0.00576,1.01585,-0.00576,1.01585,-0.024
-0.0188,0.0005,0.0081,0.0035,-0.0026,0.0007,2001-03-21,0.00019,mkt-rf-alpha,-0.02029,1.02517,-0.01421,1.00145,-0.01421,1.00145,-0.0188
-0.0043,-0.0029,-0.0138,-0.0045,-0.0165,-0.0306,2001-03-22,0.00019,mkt-rf-alpha,-0.01094,1.01476,-0.01047,0.98753,-0.01047,0.98753,-0.0043
0.0208,-0.0002,-0.0106,0.0015,0.0,-0.0092,2001-03-23,0.00019,mkt-rf-alpha,0.01395,1.02765,0.01199,0.99957,0.01199,0.99957,0.0208
0.0109,-0.006,0.0044,-0.0002,0.0043,0.009,2001-03-26,0.00019,mkt-rf-alpha,0.01218,1.04061,0.01282,1.01325,0.01282,1.01325,0.0109
0.024,-0.0094,-0.015,0.0028,-0.0113,-0.0106,2001-03-27,0.00019,mkt-rf-alpha,0.00832,1.04969,0.009,1.02187,0.009,1.02187,0.024
-0.0258,0.0052,0.0208,0.0113,0.0175,0.0366,2001-03-28,0.00019,mkt-rf-alpha,-0.00921,1.03946,-0.01458,1.00645,-0.01458,1.00645,-0.0258
-0.0053,0.0022,0.0149,0.0047,0.0085,0.0149,2001-03-29,0.00019,mkt-rf-alpha,0.00066,1.03915,0.00071,1.0074,0.00071,1.0074,-0.0053
0.0119,0.0156,-0.0045,-0.0055,0.0023,0.001,2001-03-30,0.00019,mkt-rf-alpha,0.02105,1.0622,0.01748,1.0276,0.01748,1.0276,0.0119
-0.016,-0.0119,0.0157,0.0151,0.0035,0.0226,2001-04-02,0.0002,mkt-rf-alpha,0.00833,1.07526,-0.01228,1.01524,-0.01228,1.01524,-0.016
-0.0369,0.0061,0.0205,0.0158,0.0141,0.0386,2001-04-03,0.0002,mkt-rf-alpha,-0.01421,1.05914,-0.01972,0.9948,-0.01972,0.9948,-0.0369
-0.0039,0.0003,0.0064,0.007,0.0109,0.0129,2001-04-04,0.0002,mkt-rf-alpha,0.00355,1.0635,0.00021,0.99389,0.00021,0.99389,-0.0039
0.0468,-0.007,-0.0327,-0.0179,-0.0234,-0.0538,2001-04-05,0.0002,mkt-rf-alpha,0.01408,1.07806,0.0294,1.02221,0.0294,1.02221,0.0468
-0.0207,0.0044,0.0017,0.0032,0.0064,0.017,2001-04-06,0.0002,mkt-rf-alpha,-0.00641,1.06982,-0.0148,1.00658,-0.0148,1.00658,-0.0207
0.0087,0.0028,-0.0021,-0.0046,0.0002,0.0043,2001-04-09,0.0002,mkt-rf-alpha,0.00437,1.07562,0.00821,1.01427,0.00821,1.01427,0.0087
0.0287,-0.0079,-0.015,-0.016,-0.016,-0.0314,2001-04-10,0.0002,mkt-rf-alpha,0.02184,1.10104,0.02371,1.03816,0.02371,1.03816,0.0287
-0.001,-0.0036,-0.0059,-0.0095,-0.0105,-0.0242,2001-04-11,0.0002,mkt-rf-alpha,-0.00342,1.09568,-0.00717,1.02991,-0.00717,1.02991,-0.001
0.0157,-0.0022,-0.0128,-0.0092,-0.0041,-0.0165,2001-04-12,0.0002,mkt-rf-alpha,0.00306,1.0997,0.0089,1.03932,0.0089,1.03932,0.0157
-0.0047,-0.0013,0.0075,0.0043,0.0092,0.0133,2001-04-16,0.0002,mkt-rf-alpha,-0.01976,1.07142,-0.00614,1.02901,-0.00614,1.02901,-0.0047
0.011,0.0005,-0.0032,0.0006,0.0008,0.0037,2001-04-17,0.0002,mkt-rf-alpha,0.002,1.07409,0.00719,1.03652,0.00719,1.03652,0.011
0.0392,-0.0203,-0.0272,-0.0084,-0.0327,-0.0563,2001-04-18,0.0002,mkt-rf-alpha,0.00434,1.07673,0.02359,1.06347,0.02359,1.06347,0.0392
0.0148,-0.0025,-0.0132,-0.0108,-0.0181,-0.0367,2001-04-19,0.0002,mkt-rf-alpha,-0.0019,1.07167,0.00774,1.06855,0.00774,1.06855,0.0148
-0.0087,0.0012,0.0015,-0.0024,-0.0013,-0.0025,2001-04-20,0.0002,mkt-rf-alpha,0.00611,1.08038,-0.00651,1.06023,-0.00651,1.06023,-0.0087
-0.0172,0.0079,0.0123,0.0095,0.016,0.0256,2001-04-23,0.0002,mkt-rf-alpha,0.00381,1.08528,-0.00387,1.0585,-0.00387,1.0585,-0.0172
-0.0115,0.0149,0.0082,0.0031,0.0058,0.0147,2001-04-24,0.0002,mkt-rf-alpha,-0.00048,1.08441,0.00189,1.05935,0.00189,1.05935,-0.0115
0.0168,0.004,-0.008,-0.0031,-0.0016,-0.0038,2001-04-25,0.0002,mkt-rf-alpha,0.00701,1.09199,0.01206,1.07381,0.01206,1.07381,0.0168
0.0045,0.0038,0.0039,0.0002,0.0069,0.0084,2001-04-26,0.0002,mkt-rf-alpha,0.00194,1.09416,0.00847,1.08237,0.00847,1.08237,0.0045
