ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
CAT,mkt-rf-alpha,0.0,0.0,1,2001,1.352,0.0006,0.0,1,0.0,1.4813,0.0,0.00457,0.00457
UNP,mkt-rf-alpha,0.0,0.0,1,2001,0.8498,-0.0002,0.0,1,0.0005,1.304,0.0,0.00457,0.00457
GE,mkt-rf-alpha,0.0,0.0,1,2001,1.7675,-0.0003,0.0,1,-0.0004,1.1842,0.0,0.00457,0.00457
RTX,mkt-rf-alpha,0.0,0.0,1,2001,2.0659,-0.0013,0.0,1,0.0005,1.1278,0.0,0.00457,0.00457
BA,mkt-rf-alpha,0.0,0.0,1,2001,1.9007,-0.0024,0.12516,1,0.002,0.7533,0.00428,0.00457,0.00457
HON,mkt-rf-alpha,0.0,0.0,1,2001,1.9447,-0.0012,0.0,1,0.0009,1.0205,0.0,0.00457,0.00457
UPS,mkt-rf-alpha,0.0,0.0,1,2001,0.5332,-0.0005,0.0,1,-0.0001,0.9481,0.0,0.00457,0.00457
ETN,mkt-rf-alpha,0.0,0.0,1,2001,0.995,0.0001,0.0,1,0.0004,1.1213,0.0,0.00457,0.00457
DE,mkt-rf-alpha,0.0,0.0,1,2001,1.3271,-0.0001,0.0,1,0.0011,1.0531,0.0,0.00457,0.00457
LMT,mkt-rf-alpha,0.81552,0.81552,1,2001,0.3048,0.0016,0.1163,1,0.0017,0.7339,0.00397,0.00457,0.00457
ADP,mkt-rf-alpha,0.0,0.0,1,2001,1.1885,0.0002,0.0,1,0.0006,0.9242,0.0,0.00457,0.00457
CNI,mkt-rf-alpha,0.07621,0.07621,1,2001,0.9065,0.0013,0.0,1,0.0007,1.2177,0.0,0.00457,0.00457
CP,mkt-rf-alpha,0.0,0.0,1,2001,0.9934,0.0009,0.1168,1,0.0014,0.6849,0.00399,0.00457,0.00457
RELX,mkt-rf-alpha,0.0,0.0,1,2001,0.7983,-0.001,1.54592,1,0.0033,0.2704,0.05284,0.00457,0.00457
ITW,mkt-rf-alpha,0.0,0.0,1,2001,1.3007,-0.0001,0.0,1,0.0001,1.1985,0.0,0.00457,0.00457
WM,mkt-rf-alpha,0.0,0.0,1,2001,1.1282,0.0005,0.0,1,0.0012,1.3922,0.0,0.00457,0.00457
