year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.24772,0.00052,0.93428,0.64947,10.51309,0,0,0,0,0,0,0,0,0,0,0.01074,z-score,53.0,industrials
2001,mkt-rf-alpha,0.25104,0.00037,2.00775,0.86524,42.07566,0,0,0,0,0,0,0,0,0,0,0.01034,t-value,,industrials
2002,mkt-rf-alpha,0.25332,0.00121,2.17003,0.44326,8.21883,0,0,0,0,0,0,0,0,0,0,0.01096,z-score,64.0,industrials
2002,mkt-rf-alpha,-0.0162,0.00024,1.09063,1.01754,47.64458,0,0,0,0,0,0,0,0,0,0,0.01408,t-value,,industrials
2003,mkt-rf-alpha,0.56257,0.00137,1.80923,0.34621,3.59664,0,0,0,0,0,0,0,0,0,0,0.01215,z-score,52.0,industrials
2003,mkt-rf-alpha,0.46303,0.00016,0.99927,0.84858,40.84293,0,0,0,0,0,0,0,0,0,0,0.00915,t-value,,industrials
2004,mkt-rf-alpha,0.49585,0.00135,3.51832,0.2838,4.20341,0,0,0,0,0,0,0,0,0,0,0.00682,z-score,60.0,industrials
2004,mkt-rf-alpha,0.29171,0.00041,3.0816,0.86563,36.93882,0,0,0,0,0,0,0,0,0,0,0.00809,t-value,,industrials
2005,mkt-rf-alpha,0.22691,0.00054,1.14425,0.50435,5.71664,0,0,0,0,0,0,0,0,0,0,0.01004,z-score,64.0,industrials
2005,mkt-rf-alpha,0.13684,0.00033,2.2536,0.96271,35.07213,0,0,0,0,0,0,0,0,0,0,0.00879,t-value,,industrials
2006,mkt-rf-alpha,0.32295,0.00111,2.89749,0.40837,5.09425,0,0,0,0,0,0,0,0,0,0,0.00893,z-score,57.0,industrials
2006,mkt-rf-alpha,0.21453,0.00032,1.99186,0.83642,24.84785,0,0,0,0,0,0,0,0,0,0,0.00905,t-value,,industrials
2007,mkt-rf-alpha,0.20376,0.00042,1.19497,0.77226,20.74607,0,0,0,0,0,0,0,0,0,0,0.01026,z-score,67.0,industrials
2007,mkt-rf-alpha,0.11801,0.00036,2.38437,0.93373,57.33187,0,0,0,0,0,0,0,0,0,0,0.01052,t-value,,industrials
2008,mkt-rf-alpha,-0.33288,0.001,1.33779,1.08277,26.27058,0,0,0,0,0,0,0,0,0,0,0.03052,z-score,58.0,industrials
2008,mkt-rf-alpha,-0.45475,0.00057,0.92363,1.47571,43.13546,0,0,0,0,0,0,0,0,0,0,0.04018,t-value,,industrials
2009,mkt-rf-alpha,0.17418,-0.00086,-1.23964,1.02229,14.03732,0,0,0,0,0,0,0,0,0,0,0.0239,z-score,51.0,industrials
2009,mkt-rf-alpha,0.26349,-0.00111,-2.95002,1.16361,29.46001,0,0,0,0,0,0,0,0,0,0,0.02534,t-value,,industrials
2010,mkt-rf-alpha,0.2854,0.00017,0.46614,0.69255,12.32696,0,0,0,0,0,0,0,0,0,0,0.01317,z-score,89.0,industrials
2010,mkt-rf-alpha,0.24441,-5e-05,-0.36441,0.97714,43.74489,0,0,0,0,0,0,0,0,0,0,0.01426,t-value,,industrials
2011,mkt-rf-alpha,-0.0957,-0.00011,-0.18151,0.7888,11.18336,0,0,0,0,0,0,0,0,0,0,0.01853,z-score,64.0,industrials
2011,mkt-rf-alpha,-0.08278,-0.00016,-0.79264,1.22044,51.85019,0,0,0,0,0,0,0,0,0,0,0.02225,t-value,,industrials
2012,mkt-rf-alpha,0.16827,0.00036,0.47895,0.66006,5.70816,0,0,0,0,0,0,0,0,0,0,0.01318,z-score,69.0,industrials
2012,mkt-rf-alpha,0.2077,0.0001,0.60378,0.98306,39.97382,0,0,0,0,0,0,0,0,0,0,0.00983,t-value,,industrials
