ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
PLD,mkt-rf-alpha,0.0,0.0,1,2001,0.3951,-0.0001,0.08028,1,0.001,0.2446,0.04044,0.01299,0.01299
AMT,mkt-rf-alpha,0.0,0.0,1,2001,1.1027,-0.0025,0.0,1,0.0017,1.0662,0.0,0.01299,0.01299
PSA,mkt-rf-alpha,0.44655,0.44655,1,2001,0.1664,0.0014,0.0,1,-0.0001,0.2378,0.0,0.01299,0.01299
WELL,mkt-rf-alpha,0.0,0.0,1,2001,0.4786,0.0022,0.0,1,0.0008,0.4724,0.0,0.01299,0.01299
SPG,mkt-rf-alpha,0.0,0.0,1,2001,0.4568,0.0003,0.0,1,0.0,0.4595,0.0,0.01299,0.01299
CCI,mkt-rf-alpha,0.0,0.0,1,2001,1.3519,-0.0007,0.0,1,0.0016,0.9873,0.0,0.01299,0.01299
O,mkt-rf-alpha,0.0,0.0,1,2001,0.4575,0.0005,0.04759,1,0.0012,0.3156,0.02397,0.01299,0.01299
CSGP,mkt-rf-alpha,0.0,0.0,1,2001,1.4389,0.0015,0.0,1,0.0006,0.9429,0.0,0.01299,0.01299
AVB,mkt-rf-alpha,0.0,0.0,1,2001,0.3885,-0.0,0.03837,1,0.0011,0.3153,0.01933,0.01299,0.01299
WY,mkt-rf-alpha,0.0,0.0,1,2001,1.3339,0.0,0.0,1,-0.0016,1.5151,0.0,0.01299,0.01299
SBAC,mkt-rf-alpha,0.0,0.0,1,2001,1.1365,-0.0005,0.0,1,0.005,1.1929,0.0,0.01299,0.01299
EQR,mkt-rf-alpha,0.0,0.0,1,2001,0.2608,0.0004,0.0,1,0.0007,0.3316,0.0,0.01299,0.01299
ARE,mkt-rf-alpha,0.0,0.0,1,2001,0.191,0.0,0.0,1,0.0005,0.4077,0.0,0.01299,0.01299
IRM,mkt-rf-alpha,0.03144,0.03144,1,2001,0.3792,0.0009,0.0,1,0.0001,0.836,0.0,0.01299,0.01299
VTR,mkt-rf-alpha,0.49878,0.49878,1,2001,0.3568,0.0031,0.0,1,0.0018,0.547,0.0,0.01299,0.01299
SUI,mkt-rf-alpha,0.0,0.0,1,2001,0.267,0.0007,0.0,1,0.0005,0.317,0.0,0.01299,0.01299
