year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.23919,0.00067,2.34213,0.36889,11.65834,0,0,0,0,0,0,0,0,0,0,0.00574,z-score,18.0,real_estate
2001,mkt-rf-alpha,0.2238,0.0006,2.56357,0.44131,16.88673,0,0,0,0,0,0,0,0,0,0,0.00644,t-value,,real_estate
2002,mkt-rf-alpha,0.18138,0.00053,1.00849,0.50616,9.88389,0,0,0,0,0,0,0,0,0,0,0.01012,z-score,21.0,real_estate
2002,mkt-rf-alpha,0.03165,0.00026,0.73294,0.60462,17.49463,0,0,0,0,0,0,0,0,0,0,0.00962,t-value,,real_estate
2003,mkt-rf-alpha,0.28739,0.0006,1.62448,0.18355,3.9139,0,0,0,0,0,0,0,0,0,0,0.00606,z-score,13.0,real_estate
2003,mkt-rf-alpha,0.42072,0.00055,2.68417,0.46887,17.99469,0,0,0,0,0,0,0,0,0,0,0.00579,t-value,,real_estate
2004,mkt-rf-alpha,0.41152,0.00099,2.33286,0.58817,7.86073,0,0,0,0,0,0,0,0,0,0,0.0087,z-score,22.0,real_estate
2004,mkt-rf-alpha,0.28474,0.0002,0.48327,0.72459,9.8211,0,0,0,0,0,0,0,0,0,0,0.00875,t-value,,real_estate
2005,mkt-rf-alpha,0.12077,0.0003,0.87076,0.43794,6.71235,0,0,0,0,0,0,0,0,0,0,0.00678,z-score,24.0,real_estate
2005,mkt-rf-alpha,0.08058,-3e-05,-0.08637,0.90581,14.69342,0,0,0,0,0,0,0,0,0,0,0.00843,t-value,,real_estate
2006,mkt-rf-alpha,0.24007,0.00074,2.33344,0.47661,7.20953,0,0,0,0,0,0,0,0,0,0,0.00734,z-score,23.0,real_estate
2006,mkt-rf-alpha,0.29094,0.00049,1.78785,0.72258,12.64155,0,0,0,0,0,0,0,0,0,0,0.00728,t-value,,real_estate
2007,mkt-rf-alpha,-0.13239,4e-05,0.06638,1.05473,17.9028,0,0,0,0,0,0,0,0,0,0,0.01447,z-score,25.0,real_estate
2007,mkt-rf-alpha,-0.14298,0.0001,0.24291,1.22023,26.64241,0,0,0,0,0,0,0,0,0,0,0.01508,t-value,,real_estate
2008,mkt-rf-alpha,-0.30565,0.00042,0.48715,1.1131,23.12897,0,0,0,0,0,0,0,0,0,0,0.03374,z-score,20.0,real_estate
2008,mkt-rf-alpha,-0.62657,2e-05,0.00893,1.94902,18.66873,0,0,0,0,0,0,0,0,0,0,0.06352,t-value,,real_estate
2009,mkt-rf-alpha,0.22349,2e-05,0.02406,1.11053,13.48126,0,0,0,0,0,0,0,0,0,0,0.02677,z-score,22.0,real_estate
2009,mkt-rf-alpha,0.19483,-0.00087,-0.8027,1.41745,12.44916,0,0,0,0,0,0,0,0,0,0,0.04052,t-value,,real_estate
2010,mkt-rf-alpha,0.30293,0.00071,2.0572,0.51182,9.83131,0,0,0,0,0,0,0,0,0,0,0.0093,z-score,17.0,real_estate
2010,mkt-rf-alpha,0.23768,0.00014,0.41962,0.80604,16.31053,0,0,0,0,0,0,0,0,0,0,0.01359,t-value,,real_estate
2011,mkt-rf-alpha,-0.01433,0.00029,0.49523,0.69055,10.23683,0,0,0,0,0,0,0,0,0,0,0.01775,z-score,27.0,real_estate
2011,mkt-rf-alpha,-0.03163,0.00011,0.29761,0.93681,21.97143,0,0,0,0,0,0,0,0,0,0,0.01894,t-value,,real_estate
2012,mkt-rf-alpha,0.19038,0.00027,1.05708,0.47259,12.12961,0,0,0,0,0,0,0,0,0,0,0.00585,z-score,27.0,real_estate
2012,mkt-rf-alpha,0.24139,0.00029,1.44196,0.62749,19.98301,0,0,0,0,0,0,0,0,0,0,0.00688,t-value,,real_estate
2013,mkt-rf-alpha,0.09726,-0.00064,-1.47682,0.86884,11.53065,0,0,0,0,0,0,0,0,0,0,0.00897,z-score,24.0,real_estate
2013,mkt-rf-alpha,0.10524,-0.00072,-2.16379,0.94729,16.47139,0,0,0,0,0,0,0,0,0,0,0.00833,t-value,,real_estate
2014,mkt-rf-alpha,0.18207,0.00047,2.21211,0.47319,13.67338,0,0,0,0,0,0,0,0,0,0,0.00492,z-score,31.0,real_estate
2014,mkt-rf-alpha,0.20715,0.00056,2.23026,0.5276,12.99716,0,0,0,0,0,0,0,0,0,0,0.0057,t-value,,real_estate
2015,mkt-rf-alpha,0.00808,4e-05,0.07574,0.70173,13.25224,0,0,0,0,0,0,0,0,0,0,0.01003,z-score,31.0,real_estate
2015,mkt-rf-alpha,-0.01249,1e-05,0.02208,0.82133,20.35061,0,0,0,0,0,0,0,0,0,0,0.00941,t-value,,real_estate
2016,mkt-rf-alpha,0.17355,0.00034,0.93625,0.73356,14.28747,0,0,0,0,0,0,0,0,0,0,0.00814,z-score,35.0,real_estate
2016,mkt-rf-alpha,0.15066,8e-05,0.20779,0.9407,16.56007,0,0,0,0,0,0,0,0,0,0,0.00984,t-value,,real_estate
2017,mkt-rf-alpha,0.18655,0.00041,1.28519,0.40103,4.7618,0,0,0,0,0,0,0,0,0,0,0.00546,z-score,37.0,real_estate
2017,mkt-rf-alpha,0.10191,7e-05,0.23826,0.53912,6.93005,0,0,0,0,0,0,0,0,0,0,0.00541,t-value,,real_estate
2018,mkt-rf-alpha,0.0398,0.00026,0.53556,0.54767,10.56255,0,0,0,0,0,0,0,0,0,0,0.00932,z-score,39.0,real_estate
2018,mkt-rf-alpha,-0.07501,-7e-05,-0.15861,0.68677,14.36641,0,0,0,0,0,0,0,0,0,0,0.00964,t-value,,real_estate
2019,mkt-rf-alpha,0.30324,0.00067,2.18357,0.3729,7.96976,0,0,0,0,0,0,0,0,0,0,0.00582,z-score,50.0,real_estate
2019,mkt-rf-alpha,0.24386,0.00038,1.35831,0.51162,11.98786,0,0,0,0,0,0,0,0,0,0,0.00613,t-value,,real_estate
2020,mkt-rf-alpha,-0.04334,0.00074,0.55994,1.10546,16.59473,0,0,0,0,0,0,0,0,0,0,0.03871,z-score,40.0,real_estate
2020,mkt-rf-alpha,-0.22586,0.00011,0.07581,1.40909,19.12104,0,0,0,0,0,0,0,0,0,0,0.05084,t-value,,real_estate
2021,mkt-rf-alpha,0.28498,0.00036,1.05125,0.64217,13.60269,0,0,0,0,0,0,0,0,0,0,0.00856,z-score,48.0,real_estate
2021,mkt-rf-alpha,0.28238,7e-05,0.18271,0.82413,16.33167,0,0,0,0,0,0,0,0,0,0,0.00961,t-value,,real_estate
2022,mkt-rf-alpha,-0.41471,-0.00143,-1.70149,1.17048,17.45502,0,0,0,0,0,0,0,0,0,0,0.02227,z-score,50.0,real_estate
2022,mkt-rf-alpha,-0.33066,-0.00112,-1.85761,1.15475,23.90983,0,0,0,0,0,0,0,0,0,0,0.02044,t-value,,real_estate
2023,mkt-rf-alpha,0.08085,-9e-05,-0.21975,0.77094,13.05704,0,0,0,0,0,0,0,0,0,0,0.01022,z-score,41.0,real_estate
2023,mkt-rf-alpha,0.1376,-7e-05,-0.17544,1.08504,17.85986,0,0,0,0,0,0,0,0,0,0,0.01412,t-value,,real_estate
