mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.12375,0.88988,-0.05008,0.8781,-0.05008,0.8781,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.16424,1.03137,0.11346,0.98162,0.11346,0.98162,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,-0.00608,1.02765,0.00079,0.98244,0.00079,0.98244,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,-0.09368,0.93612,-0.04308,0.93979,-0.04308,0.93979,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,0.00919,0.94559,0.00109,0.93889,0.00109,0.93889,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,0.02873,0.97186,0.01584,0.95507,0.01584,0.95507,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.04182,1.01328,0.03228,0.98683,0.03228,0.98683,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.06424,1.08062,0.05408,1.04657,0.05408,1.04657,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,0.00815,1.09004,0.01199,1.06232,0.01199,1.06232,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,-0.02028,1.06278,-0.00056,1.06243,-0.00056,1.06243,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,0.01107,1.07802,0.02705,1.09607,0.02705,1.09607,0.0037
