ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
MSFT,mkt-rf-alpha,0.07476,0.07476,1,2001,0.8299,0.0023,0.0,1,-0.0016,1.2326,0.0,0.00649,0.00649
AAPL,mkt-rf-alpha,0.55607,0.55607,1,2001,0.4703,0.0029,0.0,1,-0.0008,0.7104,0.0,0.00649,0.00649
NVDA,mkt-rf-alpha,2.5038,2.5038,1,2001,0.4475,0.008,2.63944,1,0.0082,0.2983,0.1013,0.00649,0.00649
TSM,mkt-rf-alpha,0.05711,0.05711,1,2001,0.768,0.0018,0.0,1,0.001,1.505,0.0,0.00649,0.00649
ASML,mkt-rf-alpha,0.0,0.0,1,2001,1.3628,0.0005,0.0,1,0.0022,1.065,0.0,0.00649,0.00649
ORCL,mkt-rf-alpha,0.0,0.0,1,2001,1.0019,-0.0006,0.0,1,0.0028,1.0174,0.0,0.00649,0.00649
ADBE,mkt-rf-alpha,0.0,0.0,1,2001,1.0827,0.001,0.0,1,0.0064,1.4337,0.0,0.00649,0.00649
AMD,mkt-rf-alpha,0.1106,0.1106,1,2001,0.7957,0.0024,0.44006,1,0.0039,0.6059,0.01795,0.00649,0.00649
SAP,mkt-rf-alpha,0.0,0.0,1,2001,1.4376,0.0026,0.0,1,0.0011,0.8196,0.0,0.00649,0.00649
CSCO,mkt-rf-alpha,0.0,0.0,1,2001,0.6638,0.0004,0.21486,1,0.0031,0.6543,0.00876,0.00649,0.00649
INTC,mkt-rf-alpha,0.0,0.0,1,2001,0.9723,0.0009,0.0,1,0.0019,1.2177,0.0,0.00649,0.00649
INTU,mkt-rf-alpha,0.12162,0.12162,1,2001,0.8302,0.0029,0.0,1,0.0026,1.4044,0.0,0.00649,0.00649
IBM,mkt-rf-alpha,0.08583,0.08583,1,2001,0.7614,0.002,0.0,1,0.0007,0.6118,0.0,0.00649,0.00649
QCOM,mkt-rf-alpha,0.0,0.0,1,2001,1.6736,0.0005,0.0,1,0.0001,0.732,0.0,0.00649,0.00649
TXN,mkt-rf-alpha,0.0,0.0,1,2001,0.7263,-0.0011,0.0,1,0.0041,1.0071,0.0,0.00649,0.00649
AMAT,mkt-rf-alpha,0.21134,0.21134,1,2001,0.6453,0.0023,0.1085,1,0.0026,0.6508,0.00442,0.00649,0.00649
SONY,mkt-rf-alpha,0.0,0.0,1,2001,0.7578,-0.0016,0.0,1,-0.0005,0.4078,0.0,0.00649,0.00649
LRCX,mkt-rf-alpha,0.2669,0.2669,1,2001,0.7457,0.0032,0.0,1,0.0006,1.3195,0.0,0.00649,0.00649
ADI,mkt-rf-alpha,0.0,0.0,1,2001,1.0709,0.0019,0.0,1,0.0041,1.1713,0.0,0.00649,0.00649
MU,mkt-rf-alpha,0.08721,0.08721,1,2001,0.611,0.0017,0.0,1,0.004,1.0269,0.0,0.00649,0.00649
FI,mkt-rf-alpha,0.0,0.0,1,2001,0.9618,0.0023,0.0,1,0.002,1.3026,0.0,0.00649,0.00649
INFY,mkt-rf-alpha,0.0,0.0,1,2001,1.4415,-0.0002,0.0,1,-0.0001,0.9356,0.0,0.00649,0.00649
SNPS,mkt-rf-alpha,0.0,0.0,1,2001,1.0941,0.0018,0.0,1,0.0001,1.5179,0.0,0.00649,0.00649
KLAC,mkt-rf-alpha,1.37259,1.37259,1,2001,0.3531,0.0044,0.0,1,0.003,1.6572,0.0,0.00649,0.00649
CDNS,mkt-rf-alpha,0.0,0.0,1,2001,1.1012,0.0001,0.0,1,0.0015,1.5247,0.0,0.00649,0.00649
APH,mkt-rf-alpha,0.10493,0.10493,1,2001,0.546,0.0017,0.0,1,0.0021,1.9572,0.0,0.00649,0.00649
ROP,mkt-rf-alpha,0.0,0.0,1,2001,1.2633,0.0014,0.0,1,0.0002,1.0482,0.0,0.00649,0.00649
ADSK,mkt-rf-alpha,0.06842,0.06842,1,2001,0.8276,0.0022,0.0,1,0.0017,1.0109,0.0,0.00649,0.00649
MSI,mkt-rf-alpha,0.0,0.0,1,2001,0.562,0.0009,0.0,1,-0.0008,0.9466,0.0,0.00649,0.00649
MCHP,mkt-rf-alpha,0.624,0.624,1,2001,0.59,0.0037,0.0,1,0.0019,1.3224,0.0,0.00649,0.00649
STM,mkt-rf-alpha,0.0,0.0,1,2001,1.4278,0.0002,0.06288,1,0.0029,0.877,0.00256,0.00649,0.00649
CTSH,mkt-rf-alpha,0.0,0.0,1,2001,1.7486,0.0007,0.0,1,0.0001,1.1423,0.0,0.00649,0.00649
IT,mkt-rf-alpha,0.0,0.0,1,2001,1.1176,0.0022,0.0,1,-0.0025,1.407,0.0,0.00649,0.00649
