mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.0172,0.98309,-0.02927,0.97156,-0.02927,0.97156,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,-0.04157,0.94479,-0.01707,0.95573,-0.01707,0.95573,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,-0.06949,0.88637,-0.05936,0.90577,-0.05936,0.90577,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,0.00142,0.88742,-0.00701,0.8994,-0.00701,0.8994,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,0.02125,0.90414,0.01521,0.91021,0.01521,0.91021,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,-0.00552,0.89955,-0.00144,0.90968,-0.00144,0.90968,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,-0.00451,0.89643,0.0008,0.91042,0.0008,0.91042,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,-0.05953,0.85185,-0.03306,0.88539,-0.03306,0.88539,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,0.0188,0.86481,0.00997,0.89253,0.00997,0.89253,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,-0.0119,0.85646,-0.00606,0.88882,-0.00606,0.88882,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,0.02451,0.87481,-0.00256,0.8875,-0.00256,0.8875,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,0.00283,0.8761,0.01089,0.89579,0.01089,0.89579,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,0.0066,0.88145,0.00392,0.8986,0.00392,0.8986,-0.0055
-0.0001,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.01311,0.89089,0.00886,0.90531,0.00886,0.90531,-0.0001
0.0157,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,0.0098,0.89889,0.01201,0.91589,0.01201,0.91589,0.0157
0.0034,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,0.01011,0.90661,0.00785,0.92135,0.00785,0.92135,0.0034
-0.0081,0.0004,0.0141,0.0167,0.017,0.0239,2001-01-25,0.00026,mkt-rf-alpha,0.00907,0.91405,0.01589,0.92978,0.01589,0.92978,-0.0081
-0.0011,0.0021,-0.0021,-0.0003,-0.0019,0.001,2001-01-26,0.00026,mkt-rf-alpha,-0.0074,0.90774,-0.00155,0.92904,-0.00155,0.92904,-0.0011
0.009,0.0061,-0.0034,-0.0084,-0.0079,-0.0153,2001-01-29,0.00026,mkt-rf-alpha,0.00859,0.91495,0.01317,0.93956,0.01317,0.93956,0.009
0.0063,0.0004,-0.0028,-0.0014,0.0002,-0.0105,2001-01-30,0.00026,mkt-rf-alpha,-0.00566,0.91057,-0.00072,0.93793,-0.00072,0.93793,0.0063
-0.0072,0.0043,0.0032,0.0125,0.0072,0.0055,2001-01-31,0.00026,mkt-rf-alpha,-0.01332,0.89964,-0.01478,0.92556,-0.01478,0.92556,-0.0072
