ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
NEE,mkt-rf-alpha,0.0,0.0,1,2001,0.4509,-0.0005,0.24167,1,0.0012,0.437,0.10151,0.01887,0.01887
DUK,mkt-rf-alpha,0.0,0.0,1,2001,0.8607,0.0005,-0.0,1,0.0015,0.568,-0.0,0.01887,0.01887
SO,mkt-rf-alpha,1.61078,1.61078,1,2001,0.2963,0.002,0.0,1,0.0007,0.4428,0.0,0.01887,0.01887
SRE,mkt-rf-alpha,0.0,0.0,1,2001,0.9989,0.0012,0.05933,1,0.0008,0.4072,0.02492,0.01887,0.01887
AEP,mkt-rf-alpha,0.09903,0.09903,1,2001,0.539,0.0007,0.0,1,0.0007,0.7006,0.0,0.01887,0.01887
D,mkt-rf-alpha,0.0,0.0,1,2001,0.5871,0.0002,0.78661,1,0.0017,0.3548,0.12411,0.01887,0.01887
PCG,mkt-rf-alpha,0.0,0.0,1,2001,1.4327,0.0038,0.0,1,0.0003,0.3326,0.0,0.01887,0.01887
EXC,mkt-rf-alpha,0.0,0.0,1,2001,0.3918,-0.0009,0.88593,1,0.0019,0.3679,0.12411,0.01887,0.01887
XEL,mkt-rf-alpha,0.0,0.0,1,2001,0.7759,0.0004,0.18355,1,0.0012,0.4685,0.0771,0.01887,0.01887
ED,mkt-rf-alpha,0.3292,0.3292,1,2001,0.4606,0.001,0.0,1,-0.0008,0.6769,0.0,0.01887,0.01887
PEG,mkt-rf-alpha,-0.0,-0.0,1,2001,0.6574,0.0002,0.0,1,0.0004,0.4578,0.0,0.01887,0.01887
EIX,mkt-rf-alpha,0.0,0.0,1,2001,1.6914,0.0026,0.0,1,-0.0011,0.6873,0.0,0.01887,0.01887
WEC,mkt-rf-alpha,0.02292,0.02292,1,2001,0.5752,0.0005,0.0,1,-0.0,0.5702,0.0,0.01887,0.01887
DTE,mkt-rf-alpha,0.38022,0.38022,1,2001,0.4301,0.001,0.0,1,0.0002,0.6103,0.0,0.01887,0.01887
ETR,mkt-rf-alpha,0.0,0.0,1,2001,0.4426,0.0004,0.0887,1,0.0009,0.4478,0.03726,0.01887,0.01887
FE,mkt-rf-alpha,0.31841,0.31841,1,2001,0.5305,0.0013,0.0,1,0.001,0.5888,0.0,0.01887,0.01887
PPL,mkt-rf-alpha,0.0,0.0,1,2001,0.714,-0.0001,0.0,1,0.0016,0.7577,0.0,0.01887,0.01887
ES,mkt-rf-alpha,0.0,0.0,1,2001,0.4333,-0.001,0.0,1,0.0003,0.2211,0.0,0.01887,0.01887
AEE,mkt-rf-alpha,0.08604,0.08604,1,2001,0.5031,0.0006,0.0,1,0.0005,0.5663,0.0,0.01887,0.01887
CNP,mkt-rf-alpha,0.0,0.0,1,2001,0.5552,-0.0012,0.281,1,0.0021,0.5136,0.11803,0.01887,0.01887
ATO,mkt-rf-alpha,0.0,0.0,1,2001,0.8746,-0.0007,0.0,1,0.0004,0.7724,0.0,0.01887,0.01887
CMS,mkt-rf-alpha,0.0,0.0,1,2001,0.6603,-0.0002,0.0,1,-0.0005,0.7656,0.0,0.01887,0.01887
LNT,mkt-rf-alpha,0.15507,0.15507,1,2001,0.472,0.0007,0.0,1,0.0,0.7664,0.0,0.01887,0.01887
EVRG,mkt-rf-alpha,0.0,0.0,1,2001,0.8795,-0.0014,0.52155,1,0.0011,0.2146,0.12411,0.01887,0.01887
NI,mkt-rf-alpha,0.0,0.0,1,2001,0.5995,-0.0007,0.99706,1,0.0019,0.3428,0.12411,0.01887,0.01887
AES,mkt-rf-alpha,0.0,0.0,1,2001,0.8565,-0.0042,0.0,1,0.0021,0.9271,0.0,0.01887,0.01887
KEP,mkt-rf-alpha,0.0,0.0,1,2001,0.4843,-0.0003,0.0,1,-0.0007,0.8518,0.0,0.01887,0.01887
WTRG,mkt-rf-alpha,0.0,0.0,1,2001,0.882,0.0006,0.0,1,0.0017,0.7225,0.0,0.01887,0.01887
PNW,mkt-rf-alpha,0.0,0.0,1,2001,0.6053,0.0002,0.0,1,0.0007,0.6871,0.0,0.01887,0.01887
OGE,mkt-rf-alpha,0.0,0.0,1,2001,0.5319,0.0003,0.0,1,0.0003,0.6503,0.0,0.01887,0.01887
