ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
MSFT,mkt-rf-alpha,0.05308,0.05308,1,2001,0.8299,0.0023,0.0,1,-0.0016,1.2326,0.0,0.00079,0.00079
AAPL,mkt-rf-alpha,0.89427,0.89427,1,2001,0.4703,0.0029,0.0,1,-0.0008,0.7104,0.0,0.00079,0.00079
AMZN,mkt-rf-alpha,0.0,0.0,1,2001,1.085,0.0046,0.0,1,-0.0009,1.3948,0.0,0.00079,0.00079
NVDA,mkt-rf-alpha,3.045,3.045,1,2001,0.4475,0.008,2.83016,1,0.0082,0.2983,0.02273,0.00079,0.00079
BRK-B,mkt-rf-alpha,0.0,0.0,1,2001,0.6467,0.0005,0.0,1,0.0013,0.8758,0.0,0.00079,0.00079
LLY,mkt-rf-alpha,0.0,0.0,1,2001,0.7475,0.0,0.0,1,0.0007,0.6654,0.0,0.00079,0.00079
TSM,mkt-rf-alpha,0.11133,0.11133,1,2001,0.768,0.0018,0.0,1,0.001,1.505,0.0,0.00079,0.00079
NVO,mkt-rf-alpha,0.0,0.0,1,2001,0.5126,0.0004,0.13971,1,0.0011,0.3331,0.00112,0.00079,0.00079
JPM,mkt-rf-alpha,0.0,0.0,1,2001,1.4613,0.0001,0.0,1,0.0002,1.5041,0.0,0.00079,0.00079
UNH,mkt-rf-alpha,0.0,0.0,1,2001,1.06,0.0014,0.0,1,0.0023,1.1523,0.0,0.00079,0.00079
WMT,mkt-rf-alpha,0.0,0.0,1,2001,1.1746,0.0005,0.0,1,-0.0008,1.4501,0.0,0.00079,0.00079
XOM,mkt-rf-alpha,0.0,0.0,1,2001,0.9098,-0.0004,0.0,1,-0.0006,0.4907,0.0,0.00079,0.00079
JNJ,mkt-rf-alpha,0.0,0.0,1,2001,0.5378,0.0004,0.0,1,0.0001,0.6363,0.0,0.00079,0.00079
PG,mkt-rf-alpha,0.0,0.0,1,2001,0.6397,-0.0001,0.0,1,-0.0009,0.9932,0.0,0.00079,0.00079
ASML,mkt-rf-alpha,0.0,0.0,1,2001,1.3628,0.0005,0.0,1,0.0022,1.065,0.0,0.00079,0.00079
HD,mkt-rf-alpha,0.0,0.0,1,2001,1.8893,0.0002,0.0,1,-0.001,1.6593,0.0,0.00079,0.00079
MRK,mkt-rf-alpha,0.0,0.0,1,2001,0.6751,-0.0011,0.0,1,0.0011,0.7879,0.0,0.00079,0.00079
ORCL,mkt-rf-alpha,0.0,0.0,1,2001,1.0019,-0.0006,0.0,1,0.0028,1.0174,0.0,0.00079,0.00079
COST,mkt-rf-alpha,0.0,0.0,1,2001,1.3823,0.0,0.0,1,0.0005,1.9579,0.0,0.00079,0.00079
CVX,mkt-rf-alpha,0.0,0.0,1,2001,0.6101,0.0005,0.0,1,-0.0009,0.5258,0.0,0.00079,0.00079
ADBE,mkt-rf-alpha,0.0,0.0,1,2001,1.0827,0.001,0.0,1,0.0064,1.4337,0.0,0.00079,0.00079
TM,mkt-rf-alpha,0.0,0.0,1,2001,1.0447,-0.002,0.0,1,-0.0011,0.1667,0.0,0.00079,0.00079
AMD,mkt-rf-alpha,0.11742,0.11742,1,2001,0.7957,0.0024,0.41319,1,0.0039,0.6059,0.00332,0.00079,0.00079
BAC,mkt-rf-alpha,0.0,0.0,1,2001,1.1708,0.0016,0.0,1,0.0003,1.4344,0.0,0.00079,0.00079
KO,mkt-rf-alpha,0.0,0.0,1,2001,0.6406,-0.001,0.0,1,0.0002,0.4514,0.0,0.00079,0.00079
PEP,mkt-rf-alpha,0.0,0.0,1,2001,0.5957,-0.0001,0.21018,1,0.0012,0.245,0.00169,0.00079,0.00079
TMO,mkt-rf-alpha,0.0,0.0,1,2001,1.4163,-0.0003,0.0,1,0.0022,1.0672,0.0,0.00079,0.00079
SAP,mkt-rf-alpha,0.0,0.0,1,2001,1.4376,0.0026,0.0,1,0.0011,0.8196,0.0,0.00079,0.00079
NVS,mkt-rf-alpha,0.0,0.0,1,2001,0.5685,-0.0004,0.0,1,0.0007,0.2808,0.0,0.00079,0.00079
MCD,mkt-rf-alpha,0.0,0.0,1,2001,0.6246,-0.0009,0.0,1,-0.0007,0.7104,0.0,0.00079,0.00079
AZN,mkt-rf-alpha,0.0,0.0,1,2001,0.8422,-0.0,0.01537,1,0.0008,0.5755,0.00012,0.00079,0.00079
