year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n
2001,mkt-rf-alpha,0.42139,0.00078,1.8202,0.85713,15.05694,0.07951,1.03315,-0.07337,-0.86782,-0.08809,-0.89784,-0.16976,-1.32126,0.09599,1.4676,0.01153,z-score,277.0
2001,mkt-rf-alpha,0.23995,-0.0,-10.07156,1.0,1.7165294136535744e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01016,t-value,
2002,mkt-rf-alpha,0.37247,0.00132,3.5103,0.44219,11.58842,0.07788,1.26146,0.11638,1.40681,-0.23858,-2.4664,-0.03171,-0.39304,0.09303,1.18609,0.00847,z-score,347.0
2002,mkt-rf-alpha,-0.00198,-0.0,-3.79004,1.0,1.046091876077374e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01345,t-value,
2003,mkt-rf-alpha,0.71601,0.00137,2.83008,0.49377,5.99943,0.13557,1.23141,-0.21285,-1.36171,-0.01813,-0.12077,-0.02931,-0.12987,0.1004,1.09898,0.00834,z-score,309.0
2003,mkt-rf-alpha,0.47392,0.0,15.10111,1.0,98773719459048.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00797,t-value,
2004,mkt-rf-alpha,0.77691,0.0012,1.27317,1.5016,8.37394,-1.01008,-3.44074,0.29221,0.8705,0.23961,0.66071,0.32182,0.65496,0.02185,0.09297,0.01693,z-score,427.0
2004,mkt-rf-alpha,0.26822,0.0,15.11497,1.0,151105047666187.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,t-value,
2005,mkt-rf-alpha,0.39959,0.00086,1.90595,0.76928,8.46441,-0.13994,-0.913,0.13441,0.58796,-0.27682,-1.43332,0.59162,1.93569,0.27622,2.10699,0.00915,z-score,384.0
2005,mkt-rf-alpha,0.12946,0.0,15.20622,1.0,402833764785303.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00751,t-value,
2006,mkt-rf-alpha,0.28281,0.00067,3.09185,0.57447,11.29538,0.14241,2.08069,-0.11704,-1.09675,-0.25282,-2.50357,-0.28004,-2.44034,0.27426,4.79269,0.00699,z-score,337.0
2006,mkt-rf-alpha,0.22307,0.0,14.66778,1.0,270749089054673.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00765,t-value,
2007,mkt-rf-alpha,0.16748,8e-05,0.34361,0.79243,30.17677,0.14429,2.19972,-0.15904,-1.70265,-0.17691,-1.62158,-0.20445,-1.9205,0.28819,6.01822,0.00949,z-score,435.0
2007,mkt-rf-alpha,0.04294,-0.0,-14.66198,1.0,1937899216334756.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01049,t-value,
2008,mkt-rf-alpha,-0.39478,0.00026,0.40358,0.77484,34.66758,0.00913,0.13283,-0.16632,-2.0935,-0.47554,-3.09494,-0.36814,-2.2732,0.0892,1.39831,0.03256,z-score,334.0
2008,mkt-rf-alpha,-0.46371,-0.0,-14.39763,1.0,1.069888018400854e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04075,t-value,
2009,mkt-rf-alpha,0.82484,0.00204,2.29895,0.55726,6.77792,-0.06178,-0.4145,0.02513,0.20325,-0.09073,-0.36451,0.04714,0.15573,0.14914,1.6902,0.01736,z-score,301.0
2009,mkt-rf-alpha,0.41003,0.0,15.31358,1.0,97743454723591.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02305,t-value,
2010,mkt-rf-alpha,0.39446,0.00062,2.10092,0.77265,15.97148,0.18626,2.63219,0.18443,2.13056,0.14808,1.27422,-0.13165,-0.89085,0.05167,0.72208,0.01191,z-score,438.0
2010,mkt-rf-alpha,0.24759,0.0,1.75202,1.0,1.1307602724591216e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01276,t-value,
2011,mkt-rf-alpha,0.19193,0.00087,2.53687,0.59322,16.29244,-0.17169,-2.13922,-0.26412,-2.19841,-0.50438,-3.48555,-0.17952,-1.09398,0.14573,2.42875,0.01312,z-score,428.0
2011,mkt-rf-alpha,-0.05208,-0.0,-3.21917,1.0,4035334748355336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922,t-value,
2012,mkt-rf-alpha,0.65687,0.00166,3.34585,0.571,6.64547,-0.195,-1.3774,-0.38315,-2.05337,-0.5807,-2.45406,-0.08987,-0.33544,0.00033,0.00288,0.00929,z-score,462.0
2012,mkt-rf-alpha,0.20977,0.0,15.25507,1.0,145751821461544.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00859,t-value,
2013,mkt-rf-alpha,0.82504,0.00174,2.0424,0.69469,4.13905,-0.19097,-0.74382,-0.29689,-0.83722,-0.94989,-1.97304,0.58796,1.22351,-0.78283,-3.14694,0.01407,z-score,425.0
2013,mkt-rf-alpha,0.3494,0.0,15.28641,1.0,369891008976206.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,t-value,
2014,mkt-rf-alpha,0.16775,0.00038,1.00294,0.80719,12.71195,0.12417,1.28595,-0.48267,-3.31369,-0.60312,-3.70259,0.04389,0.16392,0.04726,0.49684,0.01069,z-score,526.0
