ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
NVDA,mkt-rf-alpha,3.045,3.045,1,2001,0.4475,0.008,2.8302,1,0.0082,0.2983,0.0227,0.0008,0.0008
NVO,mkt-rf-alpha,0.0,0.0,1,2001,0.5126,0.0004,0.1397,1,0.0011,0.3331,0.0011,0.0008,0.0008
AMD,mkt-rf-alpha,0.1174,0.1174,1,2001,0.7957,0.0024,0.4132,1,0.0039,0.6059,0.0033,0.0008,0.0008
PEP,mkt-rf-alpha,0.0,0.0,1,2001,0.5957,-0.0001,0.2102,1,0.0012,0.245,0.0017,0.0008,0.0008
AZN,mkt-rf-alpha,0.0,0.0,1,2001,0.8422,-0.0,0.0154,1,0.0008,0.5755,0.0001,0.0008,0.0008
CSCO,mkt-rf-alpha,0.0,0.0,1,2001,0.6638,0.0004,0.2161,1,0.0031,0.6543,0.0017,0.0008,0.0008
PFE,mkt-rf-alpha,0.0,0.0,1,2001,0.9333,0.0001,0.0298,1,0.0016,0.7249,0.0002,0.0008,0.0008
HSBC,mkt-rf-alpha,0.0,0.0,1,2001,1.2168,-0.0009,0.0115,1,0.0009,0.6946,0.0001,0.0008,0.0008
AMAT,mkt-rf-alpha,0.3651,0.3651,1,2001,0.6453,0.0023,0.1765,1,0.0026,0.6508,0.0014,0.0008,0.0008
RY,mkt-rf-alpha,0.0,0.0,1,2001,0.8077,-0.0003,0.1156,1,0.0023,0.6764,0.0009,0.0008,0.0008
BA,mkt-rf-alpha,0.0,0.0,1,2001,1.9007,-0.0024,0.0132,1,0.002,0.7533,0.0001,0.0008,0.0008
PLD,mkt-rf-alpha,0.0,0.0,1,2001,0.3951,-0.0001,0.1262,1,0.001,0.2446,0.001,0.0008,0.0008
BLK,mkt-rf-alpha,0.0,0.0,1,2001,0.6174,0.0002,0.262,1,0.0037,0.6577,0.0021,0.0008,0.0008
NEE,mkt-rf-alpha,0.0,0.0,1,2001,0.4509,-0.0005,0.1327,1,0.0012,0.437,0.0011,0.0008,0.0008
TD,mkt-rf-alpha,0.0,0.0,1,2001,0.9607,-0.0001,0.0533,1,0.0013,0.6558,0.0004,0.0008,0.0008
LMT,mkt-rf-alpha,0.5534,0.5534,1,2001,0.3048,0.0016,0.0258,1,0.0017,0.7339,0.0002,0.0008,0.0008
DEO,mkt-rf-alpha,0.0,0.0,1,2001,0.5638,0.0004,0.0989,1,0.0015,0.6127,0.0008,0.0008,0.0008
CP,mkt-rf-alpha,0.0,0.0,1,2001,0.9934,0.0009,0.0458,1,0.0014,0.6849,0.0004,0.0008,0.0008
RELX,mkt-rf-alpha,0.0,0.0,1,2001,0.7983,-0.001,1.0397,1,0.0033,0.2704,0.0083,0.0008,0.0008
DUK,mkt-rf-alpha,0.0,0.0,1,2001,0.8607,0.0005,0.1278,1,0.0015,0.568,0.001,0.0008,0.0008
ENB,mkt-rf-alpha,0.0,0.0,1,2001,0.2408,0.0001,0.4641,1,0.0019,0.2867,0.0037,0.0008,0.0008
MCK,mkt-rf-alpha,0.0,0.0,1,2001,1.0315,0.001,0.1844,1,0.0021,0.6027,0.0015,0.0008,0.0008
NOC,mkt-rf-alpha,1.3199,1.3199,1,2001,-0.0868,0.002,0.546,1,0.0021,0.2826,0.0044,0.0008,0.0008
EOG,mkt-rf-alpha,0.0,0.0,1,2001,1.2023,-0.0009,0.237,1,0.0035,0.661,0.0019,0.0008,0.0008
BN,mkt-rf-alpha,0.0,0.0,1,2001,0.797,0.0002,0.0283,1,0.0008,0.4158,0.0002,0.0008,0.0008
EPD,mkt-rf-alpha,0.0844,0.0844,1,2001,0.7906,0.0018,0.5169,1,0.0021,0.3084,0.0042,0.0008,0.0008
BBVA,mkt-rf-alpha,0.0,0.0,1,2001,1.3812,-0.0009,0.0799,1,0.0015,0.6422,0.0006,0.0008,0.0008
E,mkt-rf-alpha,0.0,0.0,1,2001,0.928,-0.0001,0.0355,1,0.0008,0.3259,0.0003,0.0008,0.0008
WELL,mkt-rf-alpha,0.6089,0.6089,1,2001,0.4786,0.0022,0.0237,1,0.0008,0.4724,0.0002,0.0008,0.0008
VLO,mkt-rf-alpha,0.0,0.0,1,2001,1.2525,0.0009,0.165,1,0.0017,0.5614,0.0013,0.0008,0.0008
O,mkt-rf-alpha,0.0,0.0,1,2001,0.4575,0.0005,0.1817,1,0.0012,0.3156,0.0015,0.0008,0.0008
SRE,mkt-rf-alpha,0.0,0.0,1,2001,0.9989,0.0012,0.0289,1,0.0008,0.4072,0.0002,0.0008,0.0008
ING,mkt-rf-alpha,0.0,0.0,1,2001,1.3396,-0.002,0.0554,1,0.0016,0.6896,0.0004,0.0008,0.0008
CM,mkt-rf-alpha,0.0,0.0,1,2001,0.936,0.0004,0.1158,1,0.0016,0.6064,0.0009,0.0008,0.0008
SU,mkt-rf-alpha,0.5969,0.5969,1,2001,0.3996,0.0019,0.0408,1,0.0008,0.2602,0.0003,0.0008,0.0008
MFC,mkt-rf-alpha,0.0,0.0,1,2001,1.1209,-0.0007,0.9099,1,0.0038,0.4022,0.0073,0.0008,0.0008
ABEV,mkt-rf-alpha,0.0,0.0,1,2001,-0.1969,-0.0015,0.8044,1,0.0027,0.2675,0.0065,0.0008,0.0008
WDS,mkt-rf-alpha,0.0,0.0,1,2001,0.0462,-0.0003,0.3021,1,0.0012,0.0172,0.0024,0.0008,0.0008
HSY,mkt-rf-alpha,0.0,0.0,1,2001,0.7047,-0.0,0.0537,1,0.0009,0.4331,0.0004,0.0008,0.0008
